hashtags:,#comedia,#parejas
post_url,username,comment_id,comment_text
hervingceb23,17984567420268339,https://www.instagram.com/p/CyUFxesLRZS/,DATE CUENTA PIN..CHE SOCO ME EXTRAÑA QUE SIENDO ARAÑA VE A VER AL TEMACH PEL..ANA
skink_merida,18028021183715738,https://www.instagram.com/p/CyUFxesLRZS/,😂😂😂😂😂
ila_pris_05,17859176099999922,https://www.instagram.com/p/CyUFxesLRZS/,@walmermay
rubigongora1305,17873047781985800,https://www.instagram.com/p/CyUFxesLRZS/,"Ahahahhahahahahaha ""volteo""😂😂😂😂 oye Mercy que te pasa!?? Jajajajajaja merece su lugar😂😂😂😂"
carlosmendez7019,17876577248969264,https://www.instagram.com/p/CyUFxesLRZS/,Jajajajajaja
dulceherrerag,17911873148821597,https://www.instagram.com/p/CyUFxesLRZS/,Merci para la próxima PROMETIDO!!!😅
vazquezglendy,18003702187926791,https://www.instagram.com/p/CyUFxesLRZS/,Ay esa mercy....ta pasada
sanmiguel_2.6,18008505208950223,https://www.instagram.com/p/CyUFxesLRZS/,@alfaro1022 😂 como no niñooo ..
alejandro_dzib,18210896578265287,https://www.instagram.com/p/CyUFxesLRZS/,Don comedias jajaja saludos socotroco
mariopasosbarrera,17898625355885187,https://www.instagram.com/p/CyUFxesLRZS/,Tienes todo la razón padrino jajaja saludos Soco
