hashtags:,#comidayucateca,#aprobadoporelsoco
post_url,username,comment_id,comment_text
velawender,18219570754289130,https://www.instagram.com/p/DF_1Bbwsy8F/,"Soco, eres yuca, hablas como original yuca. En tus recetas la cagas neta, las posimas qué combinas en algunas de tus comidas son son como la se prepara la comida yucateca. Deverias de seguir el toque yucateco. Saludos"
bryamlopezlopez,17926428765020373,https://www.instagram.com/p/DF_1Bbwsy8F/,Porque tiene mucho cabello en la barba y en la chola que?
marianomedinaquijano,17958144317913976,https://www.instagram.com/p/DF_1Bbwsy8F/,excelente p hoy a naa
logan_larque,18122964196420613,https://www.instagram.com/p/DF_1Bbwsy8F/,😂😂😂😂😂 @donsocotroco hasta agua se te hizo la boca cuando las ibas a empezar a freír jejeje
mv_fashionstoremx,17848490232405385,https://www.instagram.com/p/DF_1Bbwsy8F/,Esta padrota tu camisa Soco ❤️
petertejero,17908819494095027,https://www.instagram.com/p/DF_1Bbwsy8F/,A mi no me gusta queda muy dura la carne esta mejor con pollo
