hashtags:,#aprobadoporelsoco,#yucatan,#calor
post_url,username,comment_id,comment_text
olguimendezb93,17988575617910519,https://www.instagram.com/p/CqVw05bL40g/,@yisusaranda
yisusaranda,17848769486955002,https://www.instagram.com/p/CqVw05bL40g/,@olguimendezb93 ya te los habia mostrado
_alejandrocorreaa,17963526224375297,https://www.instagram.com/p/CqVw05bL40g/,@g.andreasc  @natalycorrea_
blancaestela.ojeda.39,17861481404913462,https://www.instagram.com/p/CqVw05bL40g/,Deliciosas!!!! 😍
madcarloss,17856293144898863,https://www.instagram.com/p/CqVw05bL40g/,Alv. Se me hizo agua la boca.
pauly.meluna,18013079596520130,https://www.instagram.com/p/CqVw05bL40g/,😎👍
