hashtags:,#humor,#esposos,#risas
post_url,username,comment_id,comment_text
k4t1a2,18149830780439660,https://www.instagram.com/p/DF8yHvqJaAM/,Alfonso: A LA V😔🙄😵‍💫😫
nohe_bitas,18070354336746509,https://www.instagram.com/p/DF8yHvqJaAM/,😂😂😂😂😂😂😂😂😂😂😂
lucyargelia2010,17894917425181317,https://www.instagram.com/p/DF8yHvqJaAM/,😂😂😂😂😂😂😂😂😂😂
adonaicoralg,18076517071688702,https://www.instagram.com/p/DF8yHvqJaAM/,Quiero jugar con ustedes pero no tengo los $500 :(
rosamariazarate9,18039886970171277,https://www.instagram.com/p/DF8yHvqJaAM/,Esta chava es Trakalosa
fabiola_loeza,17997567434770130,https://www.instagram.com/p/DF8yHvqJaAM/,🤣🤣🤣🤣🤣😅
ale_sukino,17927055597040028,https://www.instagram.com/p/DF8yHvqJaAM/,La voy a aplicar jajajajajajajajaja
ildaus28,18056702423118019,https://www.instagram.com/p/DF8yHvqJaAM/,"Ja ja ja ja ja ja eres muy inteligente Mercy, lo siento por  el Soco"
delcarmen_segovia,18305453962226160,https://www.instagram.com/p/DF8yHvqJaAM/,Jajajajajajajajajajjajajajajajajajaja
angelbuhito82,18292169077173795,https://www.instagram.com/p/DF8yHvqJaAM/,Añioooo
rosario_perez_cervera,18053368826151328,https://www.instagram.com/p/DF8yHvqJaAM/,Jajajaja me encantas jajajaja como se molesta  zoco jajajaja
paoalmeida164,18042596831106449,https://www.instagram.com/p/DF8yHvqJaAM/,😂😂😂
wanderlustcancun,18378974032141376,https://www.instagram.com/p/DF8yHvqJaAM/,😂
joannejimenez709,18390617227129784,https://www.instagram.com/p/DF8yHvqJaAM/,Me encantan son el match perfecto 😂😂
veronicag1dominguez,18026483720358512,https://www.instagram.com/p/DF8yHvqJaAM/,😂😂😂😂😂😂😂
cryul_i,17974971092818098,https://www.instagram.com/p/DF8yHvqJaAM/,😂😂😂😂
gracechimbaa89,18056347325107399,https://www.instagram.com/p/DF8yHvqJaAM/,Jajajajajaja
graciellaem,18036191540202559,https://www.instagram.com/p/DF8yHvqJaAM/,🤣🤣🤣
estradamass,18066328957911536,https://www.instagram.com/p/DF8yHvqJaAM/,😅😂🤣😅😂🤣 q mala me encanta
tapiocaflavors.montejo,18285118600217581,https://www.instagram.com/p/DF8yHvqJaAM/,JAJAJAJAJAJAJAJAJAJAJAJA
silvermissmartin,18015369491678402,https://www.instagram.com/p/DF8yHvqJaAM/,🤣🤣🤣🤣🤣
fredi.caamal,18052230035157693,https://www.instagram.com/p/DF8yHvqJaAM/,Jajajja muero de risa me encanto el vídeo
lorenadelgado5393,18076960393726755,https://www.instagram.com/p/DF8yHvqJaAM/,Jajajajajjaja bien linda lo oji verde😘😘😘
soldado_blak,18068135386856363,https://www.instagram.com/p/DF8yHvqJaAM/,😂😂
charlie_5214,17947740443808772,https://www.instagram.com/p/DF8yHvqJaAM/,Jaja te aplicó socorro ni pedo nene paga jajaja saludos
margurica_,18387412453111510,https://www.instagram.com/p/DF8yHvqJaAM/,Jajajajajajajajajajajajajajajajajajajajajajajajajajajajaj ganaste hermana jajajjaja
abigail.bemagana,18049586279226278,https://www.instagram.com/p/DF8yHvqJaAM/,🤣🤣🤣🤣🤣🤣🤣🤣
perezrosalva,18063235672935359,https://www.instagram.com/p/DF8yHvqJaAM/,Muy bueno jasss
raulceballos20,17958226727860588,https://www.instagram.com/p/DF8yHvqJaAM/,Ni modo Soco Te chingo Merci
maritaosalde_c21,18091423939533918,https://www.instagram.com/p/DF8yHvqJaAM/,😂😂😂😂😂😂😂
erikatuyub,18080589376615870,https://www.instagram.com/p/DF8yHvqJaAM/,Jajaja😅
huacachu,18071674507695978,https://www.instagram.com/p/DF8yHvqJaAM/,Jajajaja bien vaciado jajajaja
cinkmi,18057104024074494,https://www.instagram.com/p/DF8yHvqJaAM/,Ustedes me matan de la risa jjajajaja
psiqueccrc,18086173276571465,https://www.instagram.com/p/DF8yHvqJaAM/,🤷🏽‍♀️
hernan_alcocer_,18081277642627156,https://www.instagram.com/p/DF8yHvqJaAM/,Chiquitazo padrino
isabelsantanamanrique,18486928246053842,https://www.instagram.com/p/DF8yHvqJaAM/,Jajajajaja
klrc79,18037778264176704,https://www.instagram.com/p/DF8yHvqJaAM/,Jajajajaja moro de risa
davidabrahamescalanterojas,17857999125364284,https://www.instagram.com/p/DF8yHvqJaAM/,Buenos comediantes
vicktor_gzlz,17933725112874808,https://www.instagram.com/p/DF8yHvqJaAM/,Jajajaja te la aplicaron nee
gutierrezsugey024,18351088225182456,https://www.instagram.com/p/DF8yHvqJaAM/,🤣😂🤣😂🤣😂😂 no puede con Mercibi me encantan.
chivisamores,17997965405741456,https://www.instagram.com/p/DF8yHvqJaAM/,😂😂😂😂
