hashtags:,#ayuntamientodemerida,#juegalabolita,#donsocotroco
post_url,username,comment_id,comment_text
jei.nea,18246160978134513,https://www.instagram.com/p/CkCrxMBDOa5/,Terrorrificoooo
jbeniuc,17850092798853988,https://www.instagram.com/p/CkCrxMBDOa5/,Equipo valiente 🔥
