hashtags:,#comida,#india,#bolivia
post_url,username,comment_id,comment_text
karlitacerv,17859236367486713,https://www.instagram.com/p/C-ijv95JjPQ/,🤮🤮🤮🤢🤢🤢🤢🤢
jesii.fu_,18084225329044585,https://www.instagram.com/p/C-ijv95JjPQ/,No no no eso que dios mío
mariaquidi,18096863326728746,https://www.instagram.com/p/C-ijv95JjPQ/,Dios mio que las encierren
ferchitomitesoro04,18080280067766486,https://www.instagram.com/p/C-ijv95JjPQ/,Dios mío bendito
stellaurbano6,17905798773247445,https://www.instagram.com/p/C-ijv95JjPQ/,"Que asco
 Dios santo"
lucelly_castro,17875633839304758,https://www.instagram.com/p/C-ijv95JjPQ/,Cerrado para siempre
rivastania1,18087621913892735,https://www.instagram.com/p/C-ijv95JjPQ/,Hay padre amado 😫😢😢😢
mariaocampo217,18039368126433787,https://www.instagram.com/p/C-ijv95JjPQ/,🤮🤮🤮🤮🤢🤢🤢
