hashtags:,#cerveza,#yucateco,#findesemana
post_url,username,comment_id,comment_text
kasperkml,17998612225778578,https://www.instagram.com/p/CqjGXMFNpgn/,Ayyy Alfonso. Ojalá q la tóxica si haya ido por el six! Ahhh ñññaaaaa!!
jorcolli,17965072811183120,https://www.instagram.com/p/CqjGXMFNpgn/,"Jajajaja buen truco soco ., hay que hacer sed"
andrqd,17960653319249738,https://www.instagram.com/p/CqjGXMFNpgn/,Maaaa que se arma chiki
didierrcp,17964469709195773,https://www.instagram.com/p/CqjGXMFNpgn/,"Bueno, ya se está llenando la piscina para que vaya!"
elsocotroco,18010187269598884,https://www.instagram.com/p/CqjGXMFNpgn/,@didierrcp maaa si trae el six jaja
didierrcp,17958993482441579,https://www.instagram.com/p/CqjGXMFNpgn/,@donsocotroco ni tu y ni yo! Un 24 pack!
kal_kent_alan,17945332883614214,https://www.instagram.com/p/CqjGXMFNpgn/,Jajajaja eres mi idolo Socotroco
elsocotroco,17945607722487601,https://www.instagram.com/p/CqjGXMFNpgn/,@kal_kent_alan añaaaa
