hashtags:,#boda,#sueños.
post_url,username,comment_id,comment_text
yazoso,18010071950054186,https://www.instagram.com/p/CzpqGOqLh9S/,Muchísimas felicidades que sean felices toda la vida ❤️❤️
britanyajaira,17908091291787058,https://www.instagram.com/p/CzpqGOqLh9S/,"Felicidades!!! Un momento muy emotivo, alegre y de buena vibra!!!! ❤️❤️❤️"
abnerpadi7,17903305265892905,https://www.instagram.com/p/CzpqGOqLh9S/,"Saludos Soco, cuando caes en cancun we?"
priscillaoc17,18010540258888925,https://www.instagram.com/p/CzpqGOqLh9S/,Muchas felicidades que hermoso
anaambrosiot,18383241856064592,https://www.instagram.com/p/CzpqGOqLh9S/,Padrísimo el lugar!! Sin duda no te quivocaste! Coraletta el mejor luegar!!!!❤️👏👏👏
pily_beltran,18054509809495548,https://www.instagram.com/p/CzpqGOqLh9S/,Muchas felicidades Donsocitroco!!! Hasta se me salieron las de cocodrilo
jul_ian1016,18395126149014692,https://www.instagram.com/p/CzpqGOqLh9S/,Que hermosas fotos.
juan_1972,17922206627802325,https://www.instagram.com/p/CzpqGOqLh9S/,Muchas felicidades a ambos!!
_davidpachecomendoza,18011775556983147,https://www.instagram.com/p/CzpqGOqLh9S/,👏👏👏👏👏👏👏👏❤️❤️❤️❤️ Muchas felicidades y bendiciones ñeeeñeeee un abrazo fuerte!!
