hashtags:,#Aprobadoporelsoco,#aprobadoporelsoco
post_url,username,comment_id,comment_text
chinchocastro__,17990670200342743,https://www.instagram.com/p/CyEUvQ5utSd/,@andyyarias
andyyarias,17997250790504133,https://www.instagram.com/p/CyEUvQ5utSd/,@chinchocastro__ quierooooo amorrrrrrr
