https://www.instagram.com/p/DM0eJ80J7qg/,hashtags:,#aprodadoporelsoco
username,comment_id,text
nca_nca_nca,18061331315195287,Noooo!! El mejor sándwich de Pastrami del mundo es el de @katzsdeli
marianawabir,18030743189701190,Jajajajajaajajajaj me muerooooooo
andreatookpictures,17943237840031179,Hagan uno de @chichenitzala!!!
turcios___1994,18016959683748742,😂😂😂
carlitaml,18038670086668256,Regresa mañana ya lo ubicaste jajaja
danielzan7767,18284000719258353,🤦😂😂😂
conchytacontreras,18083277820859098,Humildemente soco
carloslavadores57,17865021474432310,😂😂😂😂😂
andregoag,17919362370014969,Ve a @mesofishyla !!!!
holistic_fitness_coach,18063430850266462,😂😂😂😂😂😂😂
luisillo_bar,18037529789675067,Está en Eagle Rock @josemabermudez
sabinadominguez54,18084195832657291,"Bueno....lado positivo, ya sabes a qué hora cierran"
