https://www.instagram.com/p/DOv7hqLkX9f/,hashtags:,#kekén
username,comment_id,text
ra.po88,17908650534091145,"Confirmo que está riquísimo, pero su servicio es bastante malo, siempre me toca esperar entre 30-40 minutos con o sin comensales."
ross_rox_roll,18066553076216861,👍🏼
kibi988,17872309380425577,Tardan mucho en servir
lepapira_31,18509207236064801,"Rico todo, pero tardan mucho en servir."
jorgepascon,18045311138653435,"definitivamente la comida está rica, pero si tienen que mejorar la velocidad del servicio, así que por favor no tomen los comentarios de forma negativa, sino como un punto para mejorar, fuera de eso la comida es excelente!!!!"
m.caballero.g,17962149185981693,"Si están muy ricos, pero si podrían mejor en el servicio, supongo porque se fríen al momento. Pero si no vas con prisa vale la pena"
raulm6894,18072351521171666,Del de hunucma no subiste contenido
