https://www.instagram.com/p/DNHFLwzzpMu/,hashtags:,#aprobadoporelsoco
username,comment_id,text
marbearmalaga,18074371183975790,Yo pensaba que te ibas a plantar un calzón de esos y entrenar! Jajaja
anaricods,18526441987007117,Mejor q d viaje con los Derbez
aa_acev,18095858302620061,El final 🤣👍🏽
ivanrcabanillas,18075038917790248,Jajajaja arigato pelanaas!!!🙌
m1_rodriguez,18381898861123832,🐼
pato.irarrazabal,18145702714404508,Pensé que tú ibas a hacer el entrenamiento y no solo verlo
comexcitycent3r,17965729316794657,👏👏👏
anuar.ocana,18063967562193302,Que shingon 👏
c_lopezc19,18519342862011633,Dales en la madre soco!
