https://www.instagram.com/p/C9SxqWbpWQs/,hashtags:,#Kekén
username,comment_id,text
laselvaplayadelcarmen,18446579158021715,Que onda soco andas por las europeas ... Purooo viajar chavo
jashersanchez,18238759453261063,Ojalá @alexis_minero2001 haga el reto de comer 1 pizza de pierna entera de @pizzaycorremid
jashersanchez,18023141069071741,"Mi favorita de Pizza y Corre es la ""Jordan"" 😍😍😍"
chikilinhot,17968988801759572,No es de mi agrado se siente secaaaaaaaaaa sin demeritar que he pedido de otros ingredientes y está al tiro pero si la de pierna deja mucho que desear
chato_varon,17845068444257032,La primera fue en la 50 sur su papá regresar ISO de usa y habrio la primera en la frontera 50 sur
joyc3diva,18043058413953782,"@chato_varon la primera no fue ahí, fue por el estadio Kukulkán (la de la foto) esa es la primera sucursal y su hija hizo en la publicación en su facebook"
