hashtags:,#kekén,#aprobadoporelsoco,#recetasfáciles
post_url,username,comment_id,comment_text
lorenna0703,18105546814676715,https://www.instagram.com/p/DSLREouEQHp/,Con wue se acompaña o como es tradicional comerla saludos desde la Ciudad de México
ana.lilia.rivera,18066003953393022,https://www.instagram.com/p/DSLREouEQHp/,Buenisimo!👍🤗
brenvale22,17912591913255728,https://www.instagram.com/p/DSLREouEQHp/,👏
vegetuschef,18069378635433423,https://www.instagram.com/p/DSLREouEQHp/,Haga su programa 😮👏
costa.privatetourguide,18049014452436029,https://www.instagram.com/p/DSLREouEQHp/,😮😮😮
