https://www.instagram.com/p/CxI-PXiLV7H/,hashtags:,#Aprobado
username,comment_id,text
jai.me.mk,17845101702057832,Repollo para la banda!
papafoodie1,18014304532831311,"Pues la verdad esa cadena de pollo aquí en Texas es de las muy malas , igual que el kfc"
carlos.nah.581,18006710935943362,👏
jorge.garcia971,17863191026993998,😂😂😂
alansd75,18017796208656375,Ya me dio hambre padrino
juanjo_vargas08,17996124593147463,Los bisckets estan maaaaaaaaaaaa😍
andrerocher,18288569653121057,MAAAAA ÑEÑÉ
