hashtags:,#aprobadoporelsoco,#kekén
post_url,username,comment_id,comment_text
kalix64,18048139181040020,https://www.instagram.com/p/DFF7yc0pQOx/,"No puede ser , más carbohidratos y gluten 

Ohhhg my good !!!"
