hashtags:,#findesemana,#cerveza
post_url,username,comment_id,comment_text
pauly.meluna,17959606298275736,https://www.instagram.com/p/CqjTV5uP6sP/,El mejor comercial 😂
untulumensemas,18355266727044209,https://www.instagram.com/p/CqjTV5uP6sP/,Salud padrino! Añoooo
