https://www.instagram.com/p/DP-HkZyDH5m/,hashtags:,#humor
username,comment_id,text
julietamplan,18084344509988445,Me hacen los días ❤️jajajaja que divertido matrimonio 👏
ayana.landero,18092861692877375,"aww, pobreshitooooo pero eso hace un buen esposo jijiji"
clara3302,18057441872240411,Jajajajaja me encantan... quien se habrá fijado que el que esta sentado se parece a jackie chan el actor ❤️
maratrista,17946885110919416,Tan bellos como son ❤️
soyanacreativa,17897974146356075,Jajajajajaj acabo de entrar a su perfil jaja y me matan de risa que hermosa pareja divertida alegre y ocurrentes son me cayeron re bien y más que son yucatecos tengo familia x alla
mercibri,17967683678992525,@soyanacreativa muchas gracias ❤️❤️❤️ un fuerte abrazo
danyorsan,17969427800817503,Aquí mi novio y yo atacados de la risa viéndolos desde Japón 😂😂😂😂😂
denissegga,18061699922147856,😂😂😂😂como me hacen reír
tronishnft,18075819617603577,"Me gusta la camisa que trae Soco, es mexicana?"
solidalamz,18060136220409951,Que guapo se ve en jimbei
araceli9474,17873240814396317,Asi yo cuando ande por las coreas sin saber ni mais pero en el chisme 😂😂😂😂😂😂
lizzyoliveros19,17873649939350137,
herlindaaldana,17928897198038484,Es verdad todos te dicen Arigatō gozaimas 😂😂
smud.01,17859606000459203,Le habla en yukateco
adrianamonroydsa,18110806627637022,😂😂😂😂😂😂😂😂
vincyorozco,18312540211269752,"Me encantan sus viajes y narrativas, me representan😂"
castillo_jaslyn,18055733081379611,😂😂😂😂😂😂
claudiafrancov,18089379017014292,Son lo maximo
calamargo_0502,18133765378498418,Que gruñón!!!!!
bertha_glz_munoz,18092870663492338,"Me cae rebién por renegado,no hay video que no se queje 😂😂😂"
eli753511,18067393712540704,KAJAJAJAJAJAJAJAJAJAJAAHAJQJAIAJAJAJQJQJQHQJSJQKAKQNAKQJQKQQJQJQKQJQQJQJAJAJAJAAJAJAJAJAKAKAKAJAKAKAKAJAJAQJQJAJKAJQJQJAJAJAAJAJAJAAJAJAJAJAJAJAJAAJAJAJJAJAJAAJJAJAAJAJAJJAJAJAAJAJAJAJAJAJAJAJAAJJAAJAJAJAJJAAJJAJAJAJAJAJAJAJAJAJAJAKJAAJAJAKAJAJAJAJJAJAJAJAAJJAA😂😂😂😂😂JAJAAJAJAJAJAJAJAJAAJAJAAJAKJAAJ🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 ME VOY MEAAAAAAARR
rossyfithness,18107521414638800,😂😂😂😂😂😂😂sayonara😂😂😂😂😂😂
elpinchejerry,18175393630329597,Vengo de llorar de otro video y me salen ustedes... no dejan llorar a gusto!!!
mirnitayuk,18105534013663614,😂😂😂😂😂😂😂😂
sergiosesini,18109190899647845,"Hola amigo, soy Italiano, y ustedes hablan con el mismo acento de mi queridos amigos de Valladolid....tu voz es muy parwcida"
aramburomariela,18197954455333248,Jajajaja amoooo que mi esposo hable varios idiomas porque así si salimos entiende todo jajajaja yo solo lo sigo y se que no me perderé por nada del mundo 😂😂😂😂😂😂😂
spirit_wolf_v,17964432452861880,
jaquelinsagaon,17869331220503500,"Muero de risa con ambos. Los adoro, no paren de ompartir sus anécdotas. 😍👏❤️"
bozaazani,17899675554199345,"Me cae super bien la señora, es tan alegre."
joseguadalepemendez,17851530483609739,😂😂😂😂😂
marcosnane33,17921334045069944,Jajaja que genio @elsocotroco ❤️🙌
lieksa_sosa,18308455183254310,😂😂😂😂
deparrella,18068460047567010,😂😂😂
erneg.69,17969082674992731,"Merci ,,Le hace falta verveza japonesa a Alfonso pal relax 😜🍻"
rulo_agila,18303491722248216,Ese Alfonso es el mejor cada video me muero de risa gracias 🙏 mucho éxito
naty_isaac,18410700538190730,😂
victoria.pacheco.3382,17935629300096728,😂😂😂😂
jenn_baezaloria,17892661317353371,😂😂😂😂😂yo también pregunto mil veces jajaja y miro mil veces los tickets
miguelsaidlinares,17879812869409724,😂😂😂😂
valentinaechazarreta,17896667652185270,❤️
cristo.rodrigues.56,18045511043413895,Pero ya esta hablando en japonés alfonso no?🤔
ariadnagonzc,18109885084513126,😂😂😂😂😂😂😂😂😂
cjtomas1989,18533969506055325,😍😍😍
jlanena,18082763659818895,😂😂😂
jlanena,18295111846284271,😂😂😂😂
sandrachavez2244,17924666082138723,no se aburren merci con ese alfonso !!!!
andrearvg89,18047210078374949,Que risa!! 😂😂😂😂😂
palomiss15,18159415042381593,😂😂😂😂 ameeee
cris18119,18335516725230567,😂😂😂❤️❤️
the_keto_project_online,18411269725113184,Muero de risa
7734_vb,18168054307329823,Jajaja los amo que linda pareja
enaguiss_su,17905477170125741,❤️ los acabo de descubrir y ya los amo!
aylinriostv,18096753919776932,🤣🤣🤣🤣🤣
yaz_trabajadora_social,18310232371217938,😂😂😂😂😂😂
wendy_ivonne27,18079034938860895,😂😂😂😂😂
qjstjo,18391243240126410,Amo
qjstjo,18196280122321397,😂😂😂😂😂😂😂😂
