hashtags:,#aprobadoporelsoco,#295
post_url,username,comment_id,comment_text
patty_patth,18301761715182496,https://www.instagram.com/p/C1YE-3ZrtnV/,Ya no antojeees 😢
estebanjonas31,17892024710892360,https://www.instagram.com/p/C1YE-3ZrtnV/,Siento que te embarras mucho con tu barba cada vez que comes soco
lamilpita,17894151887948538,https://www.instagram.com/p/C1YE-3ZrtnV/,🔥🔥🔥🔥
dark_cl_33,17904276737826669,https://www.instagram.com/p/C1YE-3ZrtnV/,Come algo padrino😂🙌🙌🙌
