hashtags:,#aprobadoporelsoco,#Mérida,#comidatradicionalmexicana
post_url,username,comment_id,comment_text
carlito.pereira,18035507939261075,https://www.instagram.com/p/DG9Zb_xMNR4/,Ese bar tender una Berga Soco la neta mis respetos 🔥
carlito.pereira,17926888934917939,https://www.instagram.com/p/DG9Zb_xMNR4/,Maaaaaa este aprobado si tuvo calidad anaaaaaaaaaaa
daninoveloo,18045984521071873,https://www.instagram.com/p/DG9Zb_xMNR4/,Si es aprobado por el Soco si voy ☺️
manuelfloress213,18053003992950926,https://www.instagram.com/p/DG9Zb_xMNR4/,Soco ten cuidado te puede picar el fundió !!
