https://www.instagram.com/p/CFFgUrRg13s/,hashtags:,#añaa
username,comment_id,text
mararvl_,17880449845819479,Ven a pescar a Cozu !!!!! 💕
jjceballosc,17902822273534265,Hoy si me jodiste padrino
pavonruizjorgearturo,17898813010575712,Ma padrino se te fue tu paga en las 2 cañas que jodiste jaja
rodrigocoldom_,17881544296783383,Ni pescar sabes.
arie_sainz,17889067342669267,link del video?
rik.castro,18066471175244146,Jajajaj pareces el maniquí🤣🤣🤣🤣
grettyalmeida,17941316296389397,👏❤️
manic_panicx,17866669667025862,No me llevaste :<
johanseng,17885216185734412,@donsocotroco  vamos a pescaaaaaaar !!
javierodes,17844771884369538,"Con todo Soco, Saludos!!!🔥"
carloscollato,17860092029141342,Destrozando cañas con el ventilador de techo jajaja
marco_cc07,17902514323552206,Añaaaaa padriniiii💣
juancarlos_dzc,17858091953143496,🌊El buen 🐠 pescador 🌊🐟🦑
