hashtags:,#cochinita,#yucatan
post_url,username,comment_id,comment_text
helgacd21,17902791726207892,https://www.instagram.com/p/DAOYqguJXE8/,"perdónanos Soco, en Veracruz no sabemos hacer cochinita 😢😭😢😭 y no, no lo comería así jejeje pero me disculpo por mis paisanos, yo solo como cochinita cuando voy a la Península"
fenix8434,18109300330444218,https://www.instagram.com/p/DAOYqguJXE8/,"Son los
Mejores"
