hashtags:,#amor,#parejas
post_url,username,comment_id,comment_text
lux.arzapalo,17986207778362292,https://www.instagram.com/p/CxGiZzCJKnZ/,Fuera barba
happo128,18264577285087891,https://www.instagram.com/p/CxGiZzCJKnZ/,😂
rubigongora1305,17876334110953140,https://www.instagram.com/p/CxGiZzCJKnZ/,Que se quite la barba mercy😂
dionemorthy,17850675213047210,https://www.instagram.com/p/CxGiZzCJKnZ/,😂😂😂😂😂😂😂😂
snow_chich,18385205404047677,https://www.instagram.com/p/CxGiZzCJKnZ/,😂
lauriemendez,18018922384742215,https://www.instagram.com/p/CxGiZzCJKnZ/,"Con todo el calor, la barba etc Uay como aguantas 😮"
carmen.echeverria2,18040307170480670,https://www.instagram.com/p/CxGiZzCJKnZ/,Si que se quite la barba merci jajajaja
fishman2873,17872664300967978,https://www.instagram.com/p/CxGiZzCJKnZ/,Salúdame a mi prima Merci
fishman2873,18237203926168888,https://www.instagram.com/p/CxGiZzCJKnZ/,Ponte una peda con eso se quita y si no se te olvida
mikeceba,17948741648682439,https://www.instagram.com/p/CxGiZzCJKnZ/,"Ponte cuadridrem, buenísima crema !! Se te quita súper rápido ."
