https://www.instagram.com/p/DHe5TsHsSB3/,hashtags:,#houseofinstagram
username,comment_id,text
samajesu,17970355571846221,❤❤❤
marianawabirueda,18025886471406633,Que guapos !!!!!!!
elsocotroco,17883078036253844,Te amo 🔥
diezhelados,18121938646442344,Felicidades!!!👏👏
nacharock,18072147763872062,Waypiiii ¡los QuieRock! Amo verlos en las grandes ligas juntos 👏🏻❤️
mercibri,17900656803152283,"@nacharock gracias mi Nachita, te adoramos ❤️"
cristhellcano,18118869391445639,@mvz.jairo_mayo
mvz.jairo_mayo,17963191010888084,@cristhellcano migue jajaja
yanin.galvan,18320407129166459,"Felicidades! Matrioxca, que sigan los éxitos ✨🥰"
carlito.pereira,18308908138229126,Venga Merci y Ponchito sobres es con todo carnalitos enhorabuena
jorgemunozavila,17889518067215383,👏👏👏👏❤️
annymxtz,17962348433905887,Qué bonitos verlos crecer y juntos 💖💖
mercibri,17906478411021751,@annymxtz Gracias Bella ❤️ los queremos demashiado
david_gv21,18489660247023644,"Felicidades en lo personal me gustan sus videos por la vibra que transmite, se ve que es una hermosa mujer no solo por fuera si no por dentro! ❤️"
ttcastro2,17845614255441791,🥰
aylin_alcantara_,17864317995360803,Qué bonitas palabras Merci❤️ mis mejores deseos para ambos🙌
mercibri,18060093239085205,"@aylin_alcantara_ Muchas Gracias hermosa, me encantó conocerte ❤️"
aylin_alcantara_,18037784204237632,Asuuuuu❤️❤️❤️
mercibri,17920231677060913,@aylin_alcantara_  mareeeee jeje ❤️
carlosbriceo,17921224194059915,El texto me encantó 😍🫶🏼
mercibri,17972282750838869,@carlosbriceo ❤️❤️❤️🔥
