https://www.instagram.com/p/Cw53rRXpgC9/,hashtags:,#AprobadoporelSoco
username,comment_id,text
yorch.eldelascasas,18013538728842099,Maaaaaa! Los pibihuá de Valladolid con su cebolla y habanero son la cosa más brutal de toda la historia de México 🫶🏻🫶🏻🫶🏻🫶🏻
harveysini,18014432119840892,Lo mas desagradeble es la cubeta dentro de la lats de cochinita
marycarmen.alcocer,18048303421493124,Me encanta comer ahí . Al fin ya está en su casa . Todo delicioso y buena atención
oscarphp,18002691187891288,@donsocotroco Mae padrino tienes que probar las tortas Mincho aquí en Valladolid 🔥
fa_vega,18007942729932633,"La mejor de las mejores cochinitas, sin lugar a duda."
jonathansalazar111,18051955345465146,Bien aya Poncho saludos 😃🙌
edgar3m,18007457854825808,"Maaaaa toda una leyenda en Valladolid ,"
