username,comment_id,post_url,comment_text
calvillo.jacobo,18124773241448973,https://www.instagram.com/p/DM8K2sExnY2/,Matteo Pech
kriss_rot,18056600387605772,https://www.instagram.com/p/DM8K2sExnY2/,Poot me dejó confuso xd
angl.yeezus,17972898326944738,https://www.instagram.com/p/DM8K2sExnY2/,@kamiii.chann purépechan
kamiii.chann,17899496475162663,https://www.instagram.com/p/DM8K2sExnY2/,@angelftz_1 ok ungay 💔
angl.yeezus,18119876572521199,https://www.instagram.com/p/DM8K2sExnY2/,@kamiii.chann 🤬🤬🤬
jasielchi6,18036246797438175,https://www.instagram.com/p/DM8K2sExnY2/,En mi apellido tenho chi y caamal❤️
noemipuerto,18088928587782870,https://www.instagram.com/p/DM8K2sExnY2/,Y quien te dijo que era Hernández ? López ? Es un pueblo maya
kyokumon,17990166104692961,https://www.instagram.com/p/DM8K2sExnY2/,@noemipuerto jajaja somos potencia 🤓
noemipuerto,18072555827106378,https://www.instagram.com/p/DM8K2sExnY2/,@kyokumon si eres jsjsjsjs
kyokumon,17849447847541462,https://www.instagram.com/p/DM8K2sExnY2/,@noemipuerto 😂
josesantiagouh,17942418342069035,https://www.instagram.com/p/DM8K2sExnY2/,Yo soy keb y soy yucateco jajajaja 😢 no hay muchos así con ese apellido o si?
iam___axl,18059393129408565,https://www.instagram.com/p/DM8K2sExnY2/,@erickxinx.ip  tu we tienes 2
erickxinx.ip,18007005326635918,https://www.instagram.com/p/DM8K2sExnY2/,@iam___axl si solo los 2 JAJAJAJA
juliannocasablancas,18045964841653495,https://www.instagram.com/p/DM8K2sExnY2/,Uzaki chan mode
chan_panchito,18041992001400802,https://www.instagram.com/p/DM8K2sExnY2/,AKI los que son chan
standly_crxs,17893788798316341,https://www.instagram.com/p/DM8K2sExnY2/,Maru chan 🤙
f_manzanero,18095494177561666,https://www.instagram.com/p/DM8K2sExnY2/,Y el Manzanero? 😞
davidmartinez3095,18074695729965776,https://www.instagram.com/p/DM8K2sExnY2/,"Amigo no te explicas bien. Comenzaste diciendo que los apellidos más comunes no es Hernandez, Lopez y te saltas a apellidos mayas. Te corrijo: Entre los APELLIDOS ESPAÑIOLES , Hernandez, Lopez, Gomez SÍ SON LOS APELLIDOS MÁS COMUNES Y EN APELLIDOS MAYAS, los que tú mencionas. Me expliqué?"
victoriaelfyen,18074972488818594,https://www.instagram.com/p/DM8K2sExnY2/,@davidmartinez3095 Qué mejor explicación de que en Yucatán tengan la fortuna de que prevalecen los apellidos de la bella lengua Maya sobre los españoles 🤦🏻‍♀️
cimakoba,18039844898652987,https://www.instagram.com/p/DM8K2sExnY2/,"@davidmartinez3095 El habla en general, no se que parte no entendio, esos apellidos no son comunes son los mas reconocidos algo muy diferente"
ale_jandra1216,18043350005358191,https://www.instagram.com/p/DM8K2sExnY2/,@davidmartinez3095 si pero el esta diciendo los comunes en general…. osea que el chan pech y todos esos les ganan a los hernandez lopez Diaz
josuesierra78,18076910965778191,https://www.instagram.com/p/DM8K2sExnY2/,Yo soy pech 😮👏
dahs1583,18058911344364665,https://www.instagram.com/p/DM8K2sExnY2/,Ahhh pero los españoles los mataron a todos jajaja que gracioso es cuando la realidad golpea a las narrativas.
margaritataviramiranda,18151431820384247,https://www.instagram.com/p/DM8K2sExnY2/,@dahs1583 😠😠😠😠 Eres un Pen..
jesuisartour,18047487194281636,https://www.instagram.com/p/DM8K2sExnY2/,"@dahs1583 en la Península d Yucatán la Guerra de Castas no fue contra blancos europeos,ni españoles,sino rebelión de los peones de las haciendas cuando no era oblogatorio el idioma Español(en maya se dice Castellano) fue contra los descendientes blancos q oprimían mediante Tiendas d Raya"" con deudas impagables a los mayas,tenían derecho a pegarles para retornarlos a las haciendas practicamente eran de su propiedad los indígenas,pero de los Españoles nunca hemos habido problema"
dahs1583,17876585502388109,https://www.instagram.com/p/DM8K2sExnY2/,"@jesuisartour todo eso es verdad, pero no hubo un exterminio y destrucción organizada y deliberada de las vidas de los nativos tal y como la leyenda negra quiere hacer creer, y de hecho no todos los acendados trataban mal a los nativos, de hecho mucho los educaron los convitiero. En parte integral smde su estructura económica y social... tristemente esos fueron minoría y muchos dellos terminaron siendo asesinados de formas crueles en la misma guerra de casta, un ejemplo de ellos era mizne, quie terminó siendo asesinado por rivales de negocios."
evadcd,18520410166059155,https://www.instagram.com/p/DM8K2sExnY2/,@dahs1583 jajajaja te anda buscando la Müller para llevarte con ella a España
instakar91,17951322203863603,https://www.instagram.com/p/DM8K2sExnY2/,Mi papá es chi de parte de mi abuela pero ya no lo heredé yo 😢
ah_he_5791,18055123361142062,https://www.instagram.com/p/DM8K2sExnY2/,Me apellido Chan Pech
crisbarajas247,18115671703505633,https://www.instagram.com/p/DM8K2sExnY2/,"Confirmo, la mitad de mis amigos o conocidos originarios de Yucatán se apellidan Canul, Pech, may o balam, algunos incluso tienen dos de ellos (te hablo a ti, Balam May)"
gabishocas,18028994996703532,https://www.instagram.com/p/DM8K2sExnY2/,No está tu apellido :( @selnnac
selnnac,18089474692670558,https://www.instagram.com/p/DM8K2sExnY2/,@gabishocas 😮
aviles_noh,18061591172029699,https://www.instagram.com/p/DM8K2sExnY2/,Avilés?
sensuhor,18094100221636715,https://www.instagram.com/p/DM8K2sExnY2/,"Yo tuve una ex , toda una princesa Maya, cuerpazo de apellidos naal yah, sus apellidos muy poco comunes, osea de la nobleza!"
davidmartinez3095,18050569685626917,https://www.instagram.com/p/DM8K2sExnY2/,@sensuhor Nobleza?????
