username,comment_id,post_url,post_hashtags,comment_text
cuatrogs,18002719532841813,https://www.instagram.com/p/DT_brJtAodv/,N/A,"Maravilloso, muchas gracias 👏"
miranda_garciapalomino,18093003778798842,https://www.instagram.com/p/DT_brJtAodv/,N/A,"Y cómo diría ""Mi queso se congela"""
alemanmarco45,18006612983687372,https://www.instagram.com/p/DT_brJtAodv/,N/A,Nib oolal ki’imak oolal… cuídate gracias bendiciones 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻
katiamolinag,17881574502448779,https://www.instagram.com/p/DT_brJtAodv/,N/A,👏👏👏 gracias
deyan_rip,18055859462344391,https://www.instagram.com/p/DTwWwVJDYw3/,N/A,"Me encantan tus clases, gracias"
monw_rld,18402454051121965,https://www.instagram.com/p/DTwWwVJDYw3/,N/A,Muchas gracias por tus videos!! Yo aprendí un poco de maya en la escuela pero por no practicar se me olvidó😢 Mi meta es retomar la lengua maya en un futuro❤️
mirysislas,17903236506351001,https://www.instagram.com/p/DTwWwVJDYw3/,N/A,👏👏👏👏
cuatrogs,18193052200342463,https://www.instagram.com/p/DTwWwVJDYw3/,N/A,👏
efebocano,17972299622834499,https://www.instagram.com/p/DTwWwVJDYw3/,N/A,😃👍❤️
the_real_elprofesorazo3591,17842000008688167,https://www.instagram.com/p/DTwWwVJDYw3/,N/A,Gusto de conocer tu lengua y cultura. Bendiciones. 🙏🏿
evelin.umana1,18415565803190335,https://www.instagram.com/p/DTwWwVJDYw3/,N/A,Muchas gracias por tus lecciones. El color café lo recordaré porque suena como chocolate 🍫
reno19941228,18085063067328356,https://www.instagram.com/p/DTwWwVJDYw3/,N/A,Es muy bueno 👌  no dejes de hacerlo!! Bendiciones
ofe7k,18094178308760599,https://www.instagram.com/p/DTwWwVJDYw3/,N/A,👏👏gracias
rossymedina60,18107757919737064,https://www.instagram.com/p/DTwWwVJDYw3/,N/A,👏👏👏. Gracias por compartir conocimientos 🙏🙏
guaterican773,18112083106649853,https://www.instagram.com/p/DTwWwVJDYw3/,N/A,
rexchecks,18089374931475112,https://www.instagram.com/p/DTwWwVJDYw3/,N/A,Mas difícil que Chino 🤣😂
pacolinguo,18550645432021078,https://www.instagram.com/p/DTwWwVJDYw3/,N/A,Qué buenos compuestos. “Gris” es “blanco+negro” y “anaranjado” es “rojo+amarillo”
reno19941228,18198639340329410,https://www.instagram.com/p/DTwWwVJDYw3/,N/A,Muchas gracias por compartir!!
_froylan_,18095847935500374,https://www.instagram.com/p/DTwWwVJDYw3/,N/A,El guajolote del fondo se robó el protagonismo 😂
babydaylin,17910592716143278,https://www.instagram.com/p/DTwWwVJDYw3/,N/A,"¿Cómo se dice y escribe ""flor blanca""? 🙏🏽"
beatriceortega63,18083292425470592,https://www.instagram.com/p/DTwWWGklv3F/,N/A,Interesante! Saludos
taniauff,18088816123851761,https://www.instagram.com/p/DTwWWGklv3F/,N/A,🩵🩵🩵
_.mayanin._,18094281250751226,https://www.instagram.com/p/DTwWWGklv3F/,N/A,❤️❤️❤️❤️❤️❤️❤️❤️❤️
lenin233,18095224595493288,https://www.instagram.com/p/DTwWWGklv3F/,N/A,"Hola @santos_tuz, dónde puedo aprender sobre los 5 sonidos diferentes de cada vocal? Me gustaría escuchar cada uno."
beatriceortega63,18011877899816073,https://www.instagram.com/p/DTuz70TDmEn/,N/A,Buen día estimado Santos! Precaución al manejar especialmente si hay neblina
manologm,18044524898504443,https://www.instagram.com/p/DTbnDqOClre/,N/A,🙌🙌🙌
cuatrogs,18091635884510960,https://www.instagram.com/p/DTbnDqOClre/,N/A,Muchas gracias maestro Santos. Cómo se dice Paloma?
evelin.umana1,17853678765565997,https://www.instagram.com/p/DTbnDqOClre/,N/A,Muchas gracias por las nuevas palabras 🙌
