username,comment_id,post_url,comment_text
os.ledezma,18125906671474828,https://www.instagram.com/p/DT_G63DDeA_/,"Esta historia de amor no me pertenece, pero el destino me permitió ser parte de ella. Se conocieron en el trabajo, donde nació un amor marcado por obstáculos y por la oposición de la familia de él. Aun así, nunca se rindieron y hoy siguen juntos, demostrando que el amor verdadero siempre encuentra el camino. Ser padrino de sus anillos sería un honor 🥰 !!!"
beyeriz,18064725644541546,https://www.instagram.com/p/DT_G63DDeA_/,"Nos conocimos en el 2014 y nos hicimos novios pero cuando salimos de la secundaria el destino decidió separarnos, al pasar los meses el me buscaba de repente pero yo ya no lo tomaba mucho en cuenta porque me sentía enojada con el, hubo un día que coincidimos en una fiesta y el me habló y me empezó a decir que si le iba a seguir hablando y después de ahi pasaron unos días y nosotros volvimos a hacer novios y hoy en día nosotros tenemos una relación muy bonita porque nos llevamos muy bien y siempre nos ayudamos en todo lo que ocupemos siento que cuando volvimos nos unimos mucho mas, me siento con el muy feliz y espero y que logremos todo lo que queremos hacer ❤️😍"
joyeriataxcana1,17872767465508371,https://www.instagram.com/p/DT_G63DDeA_/,"@beyeriz Recuerden pedir apoyo, pero no el que tenga más likes GANA 😊"
vitodisena,18192695953342506,https://www.instagram.com/p/DT_G63DDeA_/,"Yo me voy a casar gracias a un muchacho que le dió palomitas y un smoothie de mango a la que sería mi futura esposa, porque yo iba 30 minutos tarde a mi cita, eso fue en Cairo Cinema Café, dónde un joven que atendía no tenía barba pero sí muchas ganas de ser famoso, ese joven era el mismísimo Julio Leal, gracias a que la entretuvo ella no se fue de nuestra primera cita"
juliolealortiz,18097914329508330,https://www.instagram.com/p/DT_G63DDeA_/,@vitodisena 😢❤️
ivon.pineda.1988,18078296786254447,https://www.instagram.com/p/DT_G63DDeA_/,❤️
cauich1995,18381063856153244,https://www.instagram.com/p/DT_G63DDeA_/,"Era tepoca día de muerto, cuando saque plan para conocer a mi novia, entonces llegue antes de la hora estuve ahí, llego ella pero yo no sabia que ya no había más transporte para regresar y así que tuve que dormir bajo el palacio y lo pero que había frío 🥺"
jaziexx_,18110221999725644,https://www.instagram.com/p/DT_G63DDeA_/,Apoyando cuentas con un like 👏👏
juliolealortiz,18079018427008578,https://www.instagram.com/p/DT_G63DDeA_/,😂😂
ivon.pineda.1988,18081178853202485,https://www.instagram.com/p/DT_G63DDeA_/,Yo quisiera los mis papás el 28 va ser su aniversario
juliolealortiz,18083107699943152,https://www.instagram.com/p/DT_G63DDeA_/,@ivon.pineda.1988 puedes escribir su historia de amor en los comentarios 🙌
