username,comment_id,post_url,post_hashtags,comment_text
lether.sf,18292947475274179,https://www.instagram.com/p/DRIbupuAkvm/,N/A,"Que buen contenido, siempre es bueno saber estas cosas, nunca sabes cuando lo puedes necesitar"
platanopple,17872146894457243,https://www.instagram.com/p/DRFeYn_DIYE/,N/A,"JAJAJ “generación Z”, y a la mayoría de ahí ya le duelen las rodillas al agacharse"
enriquequintal,18078076256327374,https://www.instagram.com/p/DQ-IHAjjXAD/,N/A,😂😂😂 ahora resulta 😂😂 que cumpla con sus obligaciones y que deje de chillar!
fotografo.mid,18087218617761798,https://www.instagram.com/p/DQr8KhXAe5Z/,N/A,"😂😂😂 WTF Seguros que es real y no, Photoshop? México mágico 🙌🏼"
clubactivoautismo,17842970703609272,https://www.instagram.com/p/DQrrA28CBVr/,N/A,❤️👏
letta.martin,18101880940591066,https://www.instagram.com/p/DQnReW2CmeY/,N/A,Al fiiiiin 😭😭😭😭😭😭
simon_del_desierto,18044136014452399,https://www.instagram.com/p/DQm3xWikz6m/,N/A,Fue por Abraham Selano 😂
fabis.mtz,18099170644665060,https://www.instagram.com/p/DQm2BJijOu2/,N/A,La presi ya se burló de ellos.  Que son bots
soy_eloswald,17897460672339563,https://www.instagram.com/p/DQfHnoalTmU/,N/A,Por eso no podemos tener nada bonito en Mx…
nutellacat01,18346731766160991,https://www.instagram.com/p/DQdFMhDCYfx/,N/A,la medida es para proteger a la narco mafia de taxistas
soy_eloswald,17963751578839868,https://www.instagram.com/p/DQdFMhDCYfx/,N/A,"Por eso en México no podemos tener nada bonito… siempre limitando las opciones de los usuarios, especialmente los de aeropuertos, con servicios amañados y caros estúpidamente, sin sentido alguno. 

No hacen más que seguir fomentando mafias de taxistas… 

Claro, moneda de cambio cuando se necesiten votos."
manolete_el_t,17868884355464754,https://www.instagram.com/p/DQZymtUEqL1/,N/A,Si
manolete_el_t,18083914162995667,https://www.instagram.com/p/DQYJTLeF7DC/,N/A,Pues en el bote le van a dar a probar mucho alcohol lis
claussa20,17924678580153727,https://www.instagram.com/p/DQX5MBmjNq4/,N/A,Felicidades!!!👏👏👏👏👏👏👏
maraescalantegram,17852899968526554,https://www.instagram.com/p/DQXVzCwlLnA/,N/A,Así empezó en Tekit y ya sabemos cómo terminó 😂🔥🔥🔥🔥
montejo.smash,18098101693666184,https://www.instagram.com/p/DQU7W7ul42w/,N/A,Y cual es el delito ahí?
aymeemortera,18056952035630887,https://www.instagram.com/p/DQHg7IljE-z/,N/A,Si
yorchi82,18360777073084206,https://www.instagram.com/p/DQHg7IljE-z/,N/A,"Lo malo de esta leyenda es que en las comunidades relacionaban a la lechuza y a la viejita o tecolote yucateco, con este cuento y las mataban 😢"
andreslabougle2040,18068510600595278,https://www.instagram.com/p/DQHg7IljE-z/,N/A,Pobres pájaros qué culpa
giovannijaimez,18071724908218270,https://www.instagram.com/p/DQFTgeVkWF-/,N/A,"""De Maxcanu para alla"" a los de Halacho les dicen huaches? 😂"
felyenero2862,18107742727613807,https://www.instagram.com/p/DQFTgeVkWF-/,N/A,🙌🏼mi papá contaba esa anécdota!!!!
lochtibio,18095459212837736,https://www.instagram.com/p/DQFTgeVkWF-/,N/A,Interesantísimo! 😮❤️
adolfoym,18123390925504327,https://www.instagram.com/p/DQFTgeVkWF-/,N/A,Polémica esa linea divisoria en Maxcanu
claudia.vargas.330467,18097778686614570,https://www.instagram.com/p/DQFTgeVkWF-/,N/A,"Ah, con razón me dijeron así y yo soy de ciudad de México"
sterroso,18072364031184238,https://www.instagram.com/p/DQFTgeVkWF-/,N/A,"Qué curioso! En algunos lugares de Oaxaca (por lo menos en el Istmo de Tehuantepec), a los soldados se les llama coloquialmente ""Huachos"" o ""Wachos"". Me pregunto si habrá alguna relación? 🤔"
muchanebula,18114992698550462,https://www.instagram.com/p/DQFTgeVkWF-/,"@sterroso en muchas partes de país es igual, en Guadalajara también!"
sterroso,18360194434092807,https://www.instagram.com/p/DQFTgeVkWF-/,@muchanebula gracias! Qué interesante!
adriangalvara,18144091204440244,https://www.instagram.com/p/DQFTgeVkWF-/,N/A,"A mi me contaron que la palabra viene del acorte para ""Huaraches"", que por aquellos de fuera al no aguantar el calor era de ley que cualquiera de fuera caminaba con Huaraches"
poncho__paz,17843058063599587,https://www.instagram.com/p/DQFTgeVkWF-/,N/A,"Claro que no es así. El origen es otro. En tiempo de la revolución, la leva era en pueblos de Oaxaca. A los soldados federales, en su mayoría de Oaxaca les dijeron ""oaxes"" y sólo cuando llegaron los indios yaquis a Yucatán, adquirieron ese nombre. Allá también dicen ""Huachos"" O es que también en las llanuras desérticas del norte, oían el ruido del huarache ???"
paxecolopex,18083366854955348,https://www.instagram.com/p/DQFTgeVkWF-/,N/A,😮😮😮😮
diego.asalinas49,18106016416613465,https://www.instagram.com/p/DQFTgeVkWF-/,N/A,pero lo hacen siempre en tono de superioridad y despectivo... muy mal ahí...
_liabliss,18142417054433053,https://www.instagram.com/p/DQFTgeVkWF-/,N/A,"En el norte a la gente del sur y a los soldados (porque la mayoría son del sur) se les dice “wachos”. 🤔

Es interesante pensar en la relación de las palabras."
