https://www.instagram.com/p/DAMr-bgOHaz/,hashtags:,#Frases_en_maya
username,comment_id,text
helengarciab,18044742172950855,🌻🌼🌻🌼🌻🌼
almaevangelista9,18016029890316374,"Ya chole con lo de las flores amarillas, ni si quiera cuidas la naturaleza y quieres regalar flores y si significado ni si quiera es relevante, puedes dar una flor del color que sea cuando gustes y por las razones que gustes"
