hashtags:,#enchedrauicuestamenos,#chedraui
post_url,username,comment_id,comment_text
helengarciab,18345326152182205,https://www.instagram.com/p/DEVV0VpPTRa/,👍👍👍👍
edsonsnow,18052278854037707,https://www.instagram.com/p/DEVV0VpPTRa/,🔥
cpnadia79,18034458002597268,https://www.instagram.com/p/DEVV0VpPTRa/,👏😍
pastormx,18285381895246665,https://www.instagram.com/p/DEVV0VpPTRa/,👏
