https://www.instagram.com/p/CixuFP-gQb8/,hashtags:,#vocesdelasraíces
username,comment_id,text
ernesto_nunez,18323852965020337,@fernando_herrera_leal
crmt48,17983872718628448,👏👏👏👏👏👏👏👏
merida1542,17869740800737007,Excelente
antony.padilla.92,18174470131245824,"Hola buenas tardes, me encanto tu guayabera y entiendo perfectamente que te la realizo tu abuelita, hay manera de poder obtener una muy parecida  en talla S?"
emmxz_dc,17933706065517911,yo say de tekax
aloal777,17928507797526166,Magnífico clip sigue adelante profe dando a conocer costumbres y tradiciones  de Ox y de comunidades del sur
elizthm_22,17947231391090243,Increíble cuanto por apreciar en cada trabajo 👏🙌😍
tendenciasitza,17908791551636272,👏👏👏👏
garcia.octaviolopez,17922802904572797,Quiero una guallavera!!!
nelly_tapi,18066153730325619,👏👏👏
stephy_ca,17951511293129211,Hola sabes donde huipiles ?
santiago.dlc,18147333727277365,🙌🙌
santos_tuz,17958205673048976,@santiago.dlc 🤩🤩
kellylopez156,17865520520787759,👏👏👏👏👏👏👏👏👏👏👏
kellylopez156,17885012015713748,Hermosa camisa!! 👏👏👏👏
santos_tuz,18308969014071819,@kellylopez156 gracias🤩🤩
lamas_xingona,17859962633776611,¡Guau! Crecí en Yucatan y nunca sabía. Muchas gracias ❤️
santos_tuz,18021593860421489,"@lamas_xingona por nada, saludos🤩🤩❤️"
_veae_ve_,18318919129008221,😍😍👏
santos_tuz,17904850277645941,@genossin_vea saludos🤩
_veae_ve_,18005897155481373,@santos_tuz gracias 👋
