hashtags:,#CulturaMaya,#fblifestyle
post_url,username,comment_id,comment_text
veroplantae,18083106535819824,https://www.instagram.com/p/DP9-AU_gVFc/,"❤️ regresar a nuestras raíces siempre es bueno, felicidades por eso!"
mexicanbeautyshop,18066988346346295,https://www.instagram.com/p/DP9-AU_gVFc/,¡Yo quiero aprender! Estoy lista
triatlonmaya,18062242490568387,https://www.instagram.com/p/DP9-AU_gVFc/,Kilich' kujbo'otik  teech Jkáansaj santos! ❤️🔥👏👏👏
altomisayoc_,18295282210253914,https://www.instagram.com/p/DP9-AU_gVFc/,👏👏👏👏👏👏
rube_oscar,18038260229703486,https://www.instagram.com/p/DP9-AU_gVFc/,👏👏👏
artisanandunique,18138491017403592,https://www.instagram.com/p/DP9-AU_gVFc/,👏👏👏👏❤️
lizz_bazan,18387924808179640,https://www.instagram.com/p/DP9-AU_gVFc/,Saben donde comprar guayaberas originales presidenciales que envien a Monterrey??
epistemic.exe,17859662385454625,https://www.instagram.com/p/DP9-AU_gVFc/,NIB ÓOLAL! MU’UK’A’AN
giahzdankawani,18053290097310742,https://www.instagram.com/p/DP9-AU_gVFc/,A mí ni me gusta el español. Preferiría hablar una lengua originaria.
