hashtags:,#distritutulum,#consumelocal
post_url,username,comment_id,comment_text
reginatello_,17843024162591557,https://www.instagram.com/p/CNsnKV7htWA/,Ya quiero conocerla🥳🥳
roger_col,17873191826372361,https://www.instagram.com/p/CNsnKV7htWA/,"Hermano, como se dice y escribe guapo y hijo en maya ?"
fridalemus,17952403585436534,https://www.instagram.com/p/CNsnKV7htWA/,Orgullo Yucateco 🙌
rogermexlopez,17903918791855772,https://www.instagram.com/p/CNsnKV7htWA/,"Hola Santos, saludos cordiales a tu abuelita y muchos besitos para ella."
carlatraconis,17928918256543062,https://www.instagram.com/p/CNsnKV7htWA/,Triunfoooo amix🙌
santos_tuz,17903865631768299,https://www.instagram.com/p/CNsnKV7htWA/,@carlatraconis en efecto amiix🥳😄❤️
hector_ramos_9050,17988171163344880,https://www.instagram.com/p/CNsnKV7htWA/,Saludos @santos_tuz
santos_tuz,18040508041291702,https://www.instagram.com/p/CNsnKV7htWA/,@hector_ramos_9050 saludos amigo🥳
