https://www.instagram.com/p/DOomM8MCMi3/,hashtags:,#fblifestyle
username,comment_id,text
lauraline.s.m,18055139987192813,Qué interesante!!👏
viratovar,18080049865772484,Gracias❤️
lovevelyn9,18057879716416001,Wow.. el Japones tambien tiene clasificadores numerales. Que interesante
ficar_a_toa,18057782636610216,tú sigue enseñándonos el idioma muchas gracias por la explicación .
sharem_neri,17983972967887653,😮
dannykun1997,17917088877173951,"¡Súper, gracias!🙌🤩¿Y cómo se dice cero? 0️⃣"
jose_jesus_86,17890591176205588,Gracias por la info nè
