https://www.instagram.com/p/DPxXs2Tkwur/,hashtags:,#fblifestyle
username,comment_id,text
meari911,18070821407197157,👏👏❤️
cr.istina5999,18054652901273864,"Me encanta estos videos, que claros e interesantes. Muchas gracias 🙌❤️"
abrilnazareth,18099751186572056,Podrías con el apellido Tec? Por favor 😊
yilanzeper,18032892485711803,El apellido Pat?
nancygarrido07,17966635094969156,Kaan ek sería ..cielo de Estrellas ?
saulo_puch,17843638878587345,Puch 👀
juan.ignacio.3388630,18107698426607855,Apellido Tec
atvi3,18099198244656516,Apellido Ko
coaxochitl01,18038221073651350,Y que tal el Uitz?
angelmoo963,17966520077822212,Apellido Moo
hbvgzd,18033467765709743,Kau?
chgro.da,17864455632472595,"Pero los nombres...desde hace muchos años. William, Bryan, Kevin, Britanny...puro prieto color charol"
juan.ignacio.3388630,18078710080869021,Apellido chay
ktruje,17862889251497881,COB
alma.nunez.5623293,18108245464602942,"Mis vecinos sus apellidos son om , cun , yf , or  am , mon sr , opt , tue , kd , wo. Dv , fu , od"
