hashtags:,#HijosAdopTikToks,#lenguamaya
post_url,username,comment_id,comment_text
avila_de_yama,17877369542229535,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
carola.rj,17897498911880587,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
tatty_vm,17887128485045832,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
azzul415,17925540295524686,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
nadialopez.j,17891279941941018,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
gerardo.esquivel.589,17900601412788102,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
perla_chan15,17898393523836050,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez ❤️
jazmin_uc,17885225033035780,https://www.instagram.com/p/CLa_JLZhbbg/,Mucho exito @santos_tuz
jazmin_uc,17894657083883863,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
ana_karina_34,17868143765296135,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez 👏
jorgetopsyt,17861558582470371,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
montsepastranae,17878717472145627,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez mira está joya😍
jimena_21t,17918013064570223,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
esamiipaoo,17877706463176739,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
gmartinezh12,17845910780518620,https://www.instagram.com/p/CLa_JLZhbbg/,@edervez
gmartinezh12,17875676966152777,https://www.instagram.com/p/CLa_JLZhbbg/,@derbez
angel.mirandam,18149913055125402,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
angel.mirandam,17904899809691589,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
angel.mirandam,17954999413404386,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
angel.mirandam,17929149865501274,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
angel.mirandam,17899646227795754,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
selenev_pc,17885781968025627,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
selenev_pc,17878437314158231,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
selenev_pc,17921171755548554,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
selenev_pc,17872088156206661,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
soy_lupuch,17920778005552741,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
jfglz,18136835449154285,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
jfglz,18008442568305515,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
falsaoronja_,18009261667305946,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
abigailake22,17885097419035273,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
abigailake22,17879493173128666,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
abigailake22,18130256320162635,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
edgar.cante_15,17981638276342596,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
edgar.cante_15,17973547792362032,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
edgar.cante_15,17842208675542069,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
edgar.cante_15,17911357975621068,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
edgar.cante_15,17882647295040006,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
edgar.cante_15,17885642828054172,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
edgar.cante_15,18129246454195254,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
isis.mis04,17982662596341690,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
isis.mis04,17842118255543312,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
isis.mis04,17899127284819379,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
isis.mis04,17872265363206356,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
betancourtgaby,17885584763023800,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
betancourtgaby,18195571492061338,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
betancourtgaby,17859960677395385,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
landyisabel,17915006536575339,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
betancourtgaby,17865996668321715,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
chabcristina,17985803395329454,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
jochebed07,17862112724421346,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
suemyn.m,17909059639631425,https://www.instagram.com/p/CLa_JLZhbbg/,👏👏👏👏👏👏👏@ederbez
chemisseaguayo,17856246137471543,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
addyrmartin,17940759652449094,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
addyrmartin,18091809412236450,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
addyrmartin,18075934186247914,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
melinchulandia_,17885333009047789,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
marlennaldana,17890851040948254,https://www.instagram.com/p/CLa_JLZhbbg/,Siiiii por favor @ederbez 🙌👏
moni_na20,18060587941274931,https://www.instagram.com/p/CLa_JLZhbbg/,Qué hermoso es el escucharte!!
nalle.25fk,17888793301976200,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
jesusortzg,17915483230596618,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
andree.lopez48,17912974009614051,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
andree.lopez48,17893352302864305,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
andree.lopez48,17909102602637983,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
andree.lopez48,17868628454336794,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
andree.lopez48,17978869429350000,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
andree.lopez48,17891855071886815,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
andree.lopez48,17882588855089348,https://www.instagram.com/p/CLa_JLZhbbg/,@ederbez
