https://www.instagram.com/p/CKP8KSuh83d/,hashtags:,#lenguamaya
username,comment_id,text
ivanfigueroz,17865072788334666,"Eres una fuente de inspiración para todos nosotros, nunca dejes de brillar crack 💎👏"
guillermosebastianperales,17858814926421718,Como se dice lugar de estrellas en maya?
njhidalgos,17891061862894849,"Hola, te dejé un mensaje directo, espero lo puedas ver 🙏🏻"
soynativomx,17881853105047785,"Amigo, como se dice inspiración en maya, o cómo expresar la idea de “inspirar a la gente” en maya"
lizeether,17942078260434311,"Hola, que padre que regresaste a  tus videos 🙏 que te recuperes pronto santoz ☺️"
lizeether,17892493084851359,@lizeether por favor quiero saber como se escribe Un día a la vez en maya 🙏🙏 por favor
ale_gery,17894839792831561,❤️ es muy bueno ver tus vídeos de nuevo
tink5mary,17878969178099739,Muchas gracias!
