hashtags:,#lenguamaya,#animo,#reel
post_url,username,comment_id,comment_text
benjamin_salas_escobedo,17924256325748080,https://www.instagram.com/p/CUYyuEBAZYR/,❤️
tun.damaris,17913705028944915,https://www.instagram.com/p/CUYyuEBAZYR/,❤️Gracias me hiciste el dia bendiciones❤️
lorelouisef,17901857354273577,https://www.instagram.com/p/CUYyuEBAZYR/,@santos_tuz gracias por los ánimos👏❤️
kayblancoo,17906087789174066,https://www.instagram.com/p/CUYyuEBAZYR/,🙌🙌🙌
rgz.lucy33,17863268468614197,https://www.instagram.com/p/CUYyuEBAZYR/,Buenas noches 😍
anelchavez53,17928302746772308,https://www.instagram.com/p/CUYyuEBAZYR/,Gracias 🙌
santos_tuz,18203213467104169,https://www.instagram.com/p/CUYyuEBAZYR/,@anelchavez53 mix ba'aj: de nada🥳✨
carmelita.ca,18102588241264489,https://www.instagram.com/p/CUYyuEBAZYR/,❤️
santos_tuz,18136400674210239,https://www.instagram.com/p/CUYyuEBAZYR/,@carmelita.ca 👋🏽💓
