hashtags:,#huracan,#lenguamaya,#yucatan
post_url,username,comment_id,comment_text
iztahuitzillin,18164779333195701,https://www.instagram.com/p/CSxsV8SAtlb/,Jajajajajaja
anelchavez53,17860449557559667,https://www.instagram.com/p/CSxsV8SAtlb/,"Ya que estas sano, ahora la lluvia no te deja salir. Buuuu"
