https://www.instagram.com/p/C3QK20fubfR/,hashtags:,#2
username,comment_id,text
helengarciab,18051748768561179,Que bonita frase e imagen 😍❤🥰
chaaaos_,18002408816184584,Me encantan las frases diarias! Estaría padre igual que agregaras un video de cómo se pronunca 👏🏻
