hashtags:,#cristianoronaldo,#euro2020,#lenguamaya
post_url,username,comment_id,comment_text
gabo.electric.eye,17884541342293840,https://www.instagram.com/p/CRFEOzZgpCM/,Beyo?
rubisanchez408,17894209217103162,https://www.instagram.com/p/CRFEOzZgpCM/,Buenas niches Saludos SantOs Me gustó el vide👏👏
manne_yc,17901159086107869,https://www.instagram.com/p/CRFEOzZgpCM/,@santos_tuz Ja ja ja morí la cara de kique cuando le quitaste la coca 😂😂😂
anelmiam,17902352368972825,https://www.instagram.com/p/CRFEOzZgpCM/,@cr7cristianoronaldo 😂
marcymaymendez,17949631444484084,https://www.instagram.com/p/CRFEOzZgpCM/,😂
itzel.ventur,17852578511606718,https://www.instagram.com/p/CRFEOzZgpCM/,😂😂 muy buena @santos_tuz 👏🙌 saludos
santos_tuz,17955682789459887,https://www.instagram.com/p/CRFEOzZgpCM/,@itzel.ventur gracias🙌🏽🤣. Saludos🥳
santos_tuz,17877160166374681,https://www.instagram.com/p/CRFEOzZgpCM/,@enriquecahun
