https://www.instagram.com/p/DN9cCsxDgTd/,hashtags:,#fblifestyle
username,comment_id,text
elizabots,18095711221713989,Una de las cosas que tengo que aprender es hablar una lengua indígena de mi país ❤️ se escucha suoer lindo
anabealava,18093751426656855,¡Gracias por lo que nos enseñas! Tu canal es fascinante! ⭐️ Viva 🇬🇹💙
cr.istina5999,17866889397370015,"Me encanta, muchas gracias por estos videos.
Encuentro dificilísimo el pronunciar las palabras mayas, que sutil pero que complicado que la entonación cambié por completo el significado de una palabra"
lualeph,18073425233025332,Ala está bien difícil
diazramosignacio,17986894808849355,Muy bueno amigo! Por más contenido como este
mnhhvvcg,18518463499013420,❤️❤️❤️❤️
victore932,18075637411827415,"Primer vez que veo este video, fue muy interesante 👏👏"
mikecruz11,18094998358712133,👏👏👏👏👏👏👏
aliciarobledo16,18148145242405697,Interesante 🤔 ❤️👏
yaxalokil,18075271127104093,Saludos de un hablante Maya-tsotsil.
alvaro_e.v,18417572740106311,@yaxalokil saludos igual soy Hablante maya-Cho’ok ❤️🙌
eveliaenlaplaya,18010531703790088,"Uuh que manera tan bonita de explicar, Gracias profesor !"
jardineando_mx,18338945794161598,Gracias!
danieyanez,18412985230129168,Gracias no dejes de hacer este contenido
yoligomezd12,18071438129122580,👏👏👏
markilalo,18019976951753507,👏👏
el_x360,18054618671528228,
ad_lpez,18056482964454245,😮
fatimasanchez260,18091540723774918,❤️
nacelarcoiris1320,17909719374198401,Yuum bo'otik 🙏
chavac406,18060150410424764,Pero cuál idioma es
