hashtags:,#Tekax,#maya
post_url,username,comment_id,comment_text
crissm420,17937088868509277,https://www.instagram.com/p/ChTSsp5rJr3/,❤️❤️❤️
christian_julian_73,17959559692918971,https://www.instagram.com/p/ChTSsp5rJr3/,😍❤️
guillermolopez416,17951902802088744,https://www.instagram.com/p/ChTSsp5rJr3/,En donde venden esos bordados?
cooxmayab,18229456204124093,https://www.instagram.com/p/ChTSsp5rJr3/,"@guillermolopez416 En San Agustín, Tekax a unos 20 minutos después de pasar Xul"
