https://www.instagram.com/p/CjI8WrMAr0T/,hashtags:,#VocesDeLasRaices
username,comment_id,text
oropezaluis,18037763659384202,"Muna, tierra de mi mamá. Es “Agua tierna”"
orianna_la_mexicana,18322999138027920,"#vocesdelasraíces  Tekantó ""lugar donde yace el perdernal amarillo"""
lichoaraujo,18249331210137801,Tixkokob (nido de culebras)
mexicotourguide,17966504521914582,Genial 🙌 felicidades 🔥!!!!
angdex_al,17978164663672509,"Muchas felicidades 👏, eres mi idolo, ni el canelo ni Bad Bunny son competencia para tí 🤜🏼🤛🏼. Saludo desde Peto; ""Corona de luna"""
pablomiguelgmiranda,18150013735301595,🙌👏👏👏👏👏💯👌😎😎🎩🇨🇱✌
elen.abeatriz,17973065065765086,Felicitaciones Santos. Todo el éxito en este nuevo proyecto. Dios te bendice. 👏😃
