hashtags:,#Maestro,#Normal,#ENTY
post_url,username,comment_id,comment_text
tioranita14,17964295010863089,https://www.instagram.com/p/DIHnKH7vJTU/,Felicidades que sigan los éxitos
helengarciab,17860641180390307,https://www.instagram.com/p/DIHnKH7vJTU/,Muchas felicidades @santos_tuz y sigue adelante con este gran trabajo que tienes en las redes sociales de enseñar Maya 👏👏👏👏
victorhugomorales.melendez,18053053646268848,https://www.instagram.com/p/DIHnKH7vJTU/,👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼
