https://www.instagram.com/p/CjGY5U8ARjf/,hashtags:,#VocesDeLasRaices
username,comment_id,text
cecilia.bernal.1069,18065984713327275,Muy bonito 😊
samyescobedo,17884706822716845,"Que bonito, yo quiero aprender a hablar@maya"
multitaskgirl,17856385178818855,👏👏👏
manologm,17940651800462534,⚡⚡⚡
manologm,18255370717128191,⚡⚡⚡
mannydeuce1,17928550247397076,👏👏👏👏👏
amandasonoio,18193119112175932,"👏👏👏👏🙌❤️muchas felicidades  me encanta que compartas y nos enseñes más sobre la cultura maya y la lengua maya, un abrazo"
aloal777,17927300825584343,👏👏👏
_.alas.__,17908469531640547,Gracias Santo por tu trabajo increíble !!!! Amoooo a tu página y tus videos ❤️
santos_tuz,17953356844988492,@el_gathoe Muchísimas gracias por sus palabras❤️. Se lo agradezco mucho🥹
