https://www.instagram.com/p/DPm_bDijcMX/,hashtags:,#fblifestyle
username,comment_id,text
epicuruscarlos,18094388926746283,Interesante! Bravo!!!!
sanjuan.hernandez,18401201506185158,¡Qué bonitos apellidos!
meari911,17878325169308049,👏👏
hectormartinez4679,18078548330025365,Oye...conocí una persona que se apellidaba....Canche...
esa.mayaverybad,18085277641746547,❤️❤️❤️❤️
pocketfulofdadjokes,18076971442887733,Cual dialecto?
jairofergar,18075996431163171,"@pocketfulofdadjokes el maya no es un dialecto, es una lengua"
pocketfulofdadjokes,18321499552241430,"@jairofergar Tienes razón, me expresé mal 🙏 Quise decir lengua maya, no dialecto. Sé que hay muchas lenguas mayas distintas, solo quería saber cuál de ellas hablaba."
itzvaleatilano,18109318510605114,@pocketfulofdadjokes maya yucateco
pocketfulofdadjokes,17973617213947270,@itzvaleatilano gracias
vikopunks,17989950680714818,"Muy bellos apellidos. Gracias, bro. ♥️"
rigelpirron,17987005532883761,"Mi bisabuelo se apellidaba Quej por parte materna, es muy probable que fuera precisamente Ceh, porque hasta donde yo supe mi abuelo tenía primos en Campeche, De hecho mi abuelo utilizaba algunas palabras como Tux, Wishar, Pirix, son palabras que probablemente aprendió de sus primos o de su propio padre mi abuelo nació en Veracruz, allá creció y después se vino a la ciudad de México."
kix_9092,18183957562340885,Hubieras de hacer el apellido Huchim porfis 🥺
__rodolfomartinez__,17983502081914779,Ku
idiazmarquez,18010565984807878,
chgro.da,17897631201315134,El Bryan Puc... la Britanny Pech?
johnthedrivermerida,18051577064313449,Tah?
herreramar___,18426110278105944,@amc_pilot13 Chan !!
amc_pilot13,17846109768567429,@herreramar___ yo soy chan
herreramar___,18047619764662178,@amc_pilot13 Chan kisin
maribelgarciasoto,18070944710215546,Chan
maribelgarciasoto,18094281865701850,Cutz
luis_oyosa,18099678208658468,Pech?
alexanderdepandora,17927911413126861,@luis_oyosa garrapata
im_facus,18159696115378358,1ro es hipocrita en maya 😂
