hashtags:,#lenguamaya,#yucatan,#tekaxyucatan
post_url,username,comment_id,comment_text
delpalaciomauricio,18035315263555372,https://www.instagram.com/p/Cw4MZUFg9A6/,Hermoso Gracias por Compartir Santos saludos AMIGO 👏👏👏👏👍🏻👋🏻👋🏻👋🏻
louisitogonzmart,18023649859648456,https://www.instagram.com/p/Cw4MZUFg9A6/,Qué belleza de cultura tenemos.
pilartuztuz,17867726795943049,https://www.instagram.com/p/Cw4MZUFg9A6/,Súper ❣️🙏🏼👏🏻👏🏻👏🏻
louquise,18099445480354705,https://www.instagram.com/p/Cw4MZUFg9A6/,"Me encanta tu trabajo, Santos. Ya quiero conocer Yucatán <3"
renatavzqq,17993383154236811,https://www.instagram.com/p/Cw4MZUFg9A6/,😍
