https://www.instagram.com/p/DRDfcn7DX7_/,hashtags:,#fblifestyle
username,comment_id,text
analunitaverita,18099174601686343,👏🙌🔥❤️
ztef_zam,17924817144159649,😍🤤 Es delicioso el Mamey
aliciarobledo16,18294923185258959,❤️❤️👏👏👏
tony89gutierrez,18119572141528764,Yo quiero un chakal
tris.h6479,17978693462943633,😂😂😂
hectorzj,17939034428964001,👏👏👏
yeci_vane,18089826152510237,Nísperos
yosoymiu,18055618274313514,"@yeci_vane me imagino que igual, o parecido, pues no es mexicana"
alitowanda,18082842808851939,"Eres importante, ojalá la SEP o segey haga un programa de maya, así como hay del inglés en Maxcanú , me da pena que haya primero del inglés… @huachodiazmena.oficial"
