hashtags:,#fyp,#comedia,#yucatan
post_url,username,comment_id,comment_text
san_antonio_59,18417552475100445,https://www.instagram.com/p/DMlVkErpTNF/,Ándale la doña 😂😂😂😂😂😂
oyuki_____,18088648234706807,https://www.instagram.com/p/DMlVkErpTNF/,JAJAJAJAJAJAJA “es el que veo en face” dice la señora😂🥹
lilly_rivera34,18101290732502059,https://www.instagram.com/p/DMlVkErpTNF/,🤣🤣🤣
