hashtags:,#fyp,#merida,#yucatan
post_url,username,comment_id,comment_text
miielmelika,18053972992667003,https://www.instagram.com/p/C9tS8cFM0Cd/,@eliasivan66 @lind.amendezzzz
marco_viruel,18110074078401125,https://www.instagram.com/p/C9tS8cFM0Cd/,@dhalidzul vamos
david_cen,17994883175496318,https://www.instagram.com/p/C9tS8cFM0Cd/,@diannacaamal
claudiacetinam,18054667453671628,https://www.instagram.com/p/C9tS8cFM0Cd/,@paola2007_s
oyuki_loeza,17853722358232881,https://www.instagram.com/p/C9tS8cFM0Cd/,Con @oulises873 🫶🏻
violetayerves,17843982297264894,https://www.instagram.com/p/C9tS8cFM0Cd/,@alejandro_xequeb hay que ir amooor ❤️
fannycc97,17881901262093784,https://www.instagram.com/p/C9tS8cFM0Cd/,@manu.xax
abigailespinoza07,18347977906115451,https://www.instagram.com/p/C9tS8cFM0Cd/,Salió mi hermanito en el video 😅😅 huracán categoría 5? 😂😂
merlyna,17868741768153303,https://www.instagram.com/p/C9tS8cFM0Cd/,mi bebé salió 😍 en el vídeo.  Por cierto muy rico todo lo que venden
victoriam_cm,17938776887849736,https://www.instagram.com/p/C9tS8cFM0Cd/,Con @lissn_ 🫶🏻
lissn_,17896470198033845,https://www.instagram.com/p/C9tS8cFM0Cd/,@victoriam_cm que deli se veeee
nayeli_pech18,17996653643640664,https://www.instagram.com/p/C9tS8cFM0Cd/,@beatriz_canulc cuando regreses amiix vamos🤤🤤
angie_green13,18050493730773785,https://www.instagram.com/p/C9tS8cFM0Cd/,"Que hagan karaoke desde las 5pm, nos encanta a los vecinos de yucalpeten❤️🔥"
josetwitts,17970572144751516,https://www.instagram.com/p/C9tS8cFM0Cd/,🔥
josetwitts,18443741704010899,https://www.instagram.com/p/C9tS8cFM0Cd/,Pero si voy también me va a recibir ese altote con una cheva??🥵🥵😳
juliolealortiz,18044387434879553,https://www.instagram.com/p/C9tS8cFM0Cd/,@josetwitts lo gestiono 🥵
terraza28mx,17843909934270922,https://www.instagram.com/p/C9tS8cFM0Cd/,Y a @joesantanab 🫶🫶🫶
terraza28mx,18022277744352803,https://www.instagram.com/p/C9tS8cFM0Cd/,Siempre es increíble recibirte 🙌🙌🙌
juliolealortiz,18039292967312684,https://www.instagram.com/p/C9tS8cFM0Cd/,@terraza28mx urge volver!
