hashtags:,#humor,#fyp,#yucatan
post_url,username,comment_id,comment_text
elsymaga,17967207266818401,https://www.instagram.com/p/DEOxGwqMsmx/,Bravo me hacen reír tus videos saludos
juliolealortiz,17941760402933138,https://www.instagram.com/p/DEOxGwqMsmx/,@elsymaga 🙌
juanperaza_10,18477606532017865,https://www.instagram.com/p/DEOxGwqMsmx/,Te faltó el de los viejillos que se cotorrean entre sí enfrente de portales😂
juliolealortiz,17870951856180394,https://www.instagram.com/p/DEOxGwqMsmx/,@juanperaza_10 jajajaja que joya 😂 que otro crees que haya hecho falta?
juliolealortiz,17938356227959076,https://www.instagram.com/p/DEOxGwqMsmx/,@juanperaza_10 para el libro! Jajajaja
juanperaza_10,18364090891191642,https://www.instagram.com/p/DEOxGwqMsmx/,"@juliolealortiz La del chavo del mercado que dijo que su ex lo dejó por su amigo, pero se dziseo a su amiga dejó su ex, digno de un monólogo de la rosa de Guadalupe🤌🏼"
emmanuel.villa,17960264285846428,https://www.instagram.com/p/DEOxGwqMsmx/,Falto la señora que extraña a su ex y estaba con su esposo
juliolealortiz,18150514477350218,https://www.instagram.com/p/DEOxGwqMsmx/,"@emmanuel.villa jajajaja es cierto! Fue de los primeros, mensaje a tu ex 😂"
eduardogarciaofc,17911839132052935,https://www.instagram.com/p/DEOxGwqMsmx/,Jajajjajajaja!! 😂😂😂
juliolealortiz,18054970843960112,https://www.instagram.com/p/DEOxGwqMsmx/,@eduardogarciaofc pura joyita! 😂
damian19n,18070296412735115,https://www.instagram.com/p/DEOxGwqMsmx/,Y al chavo que cachetearon en que lugar lo dejas? 🤣
juliolealortiz,18063158278863427,https://www.instagram.com/p/DEOxGwqMsmx/,@damian19n jajajaja vamos a ponerle Mención Honorífica 😂
