https://www.instagram.com/p/BxxpsQsn7Qh/,hashtags:,"#1diasinagua,"
username,comment_id,text
luz_mgomez,17872831834373338,Buena foto Julio 👏
juliolealortiz,17881614364358044,@luz_mgomez muchas gracias!
pamelaarivas,18059627890072450,"En Tekax se dice la misma historia del Huay Cot, pero la casona está en Tekax, se dice que cuando se iba y regresaba, traía nuevas ideas para remodelar la casa de Tekax 🤔"
juliolealortiz,18026907976171895,@pamelaarivas Ö
vrdguillen,17865601054383756,👌👌👌
verdeguillen,18031927876160092,Chulada! 👏
josetwitts,18038689657191816,Se nota el estilo del verde
verdeguillen,18068241568013296,@josetwitts jajaja gracias viejo! 👌👏
