hashtags:,#merida,#yucatan,#fyp
post_url,username,comment_id,comment_text
galletas.donde,17987845673899148,https://www.instagram.com/p/DRNu36qjW1t/,Amamos las Rosquitas ✨
juliolealortiz,18072494222031711,https://www.instagram.com/p/DRNu36qjW1t/,@galletas.donde 🫰🏽
leoyosef76,17884332558282812,https://www.instagram.com/p/DRNu36qjW1t/,No son nuevas jeje
juliolealortiz,17846674248584882,https://www.instagram.com/p/DRNu36qjW1t/,@leoyosef76 desaparecieron mucho tiempo 😱
leoyosef76,18083700779080036,https://www.instagram.com/p/DRNu36qjW1t/,@juliolealortiz así es
pedroantonioleo,18009172901802713,https://www.instagram.com/p/DRNu36qjW1t/,"Justo acabo de subir video buscándolas en Maxcuil, @galletas.donde gracias por devolverlas tío"
juliolealortiz,18227418541305916,https://www.instagram.com/p/DRNu36qjW1t/,@pedroantonioleo 👏👏
