hashtags:,#merida,#yucatan,#comida
post_url,username,comment_id,comment_text
robalarcon_,18035425040401862,https://www.instagram.com/p/DL3ybpMsVkx/,GPI!! Que rico y también la comida
juliolealortiz,18055721330368590,https://www.instagram.com/p/DL3ybpMsVkx/,@robalarcon_ tqm bebo! Jajajaja
soy_rauldelrey,18307188604218882,https://www.instagram.com/p/DL3ybpMsVkx/,"Que rico, quiero comer la comida de codea 🤤"
yomi_lizama,17852091276492854,https://www.instagram.com/p/DL3ybpMsVkx/,Todo muy rico!!? Mi favorito!
san_antonio_59,17959230272813552,https://www.instagram.com/p/DL3ybpMsVkx/,😍😍😍😍🙌🙌🙌🙌🙌🙌
juliolealortiz,18091014112645622,https://www.instagram.com/p/DL3ybpMsVkx/,@san_antonio_59 tienes que ir!!
_alemagana,18102076870497345,https://www.instagram.com/p/DL3ybpMsVkx/,"Qué deliiii, qué tipo de bebidas hay?"
laura9540,18062321705365412,https://www.instagram.com/p/DL3ybpMsVkx/,Ubicación...
yedam_merida,17943311352027076,https://www.instagram.com/p/DL3ybpMsVkx/,https://maps.app.goo.gl/WBwuLXPpSnoHusg39
marisolalvarez.8,17956301270881955,https://www.instagram.com/p/DL3ybpMsVkx/,@yedam_merida no abre l ubicación
diego.alemi,18054840890579269,https://www.instagram.com/p/DL3ybpMsVkx/,🙌🙌🙌🙌👏👏👏 Que queee @juliolealortiz  le caemos pa
mikegarcia__,17884739148202545,https://www.instagram.com/p/DL3ybpMsVkx/,No inventes se ve 👌🏼 🤤
juliolealortiz,18050003282178968,https://www.instagram.com/p/DL3ybpMsVkx/,@mikegarcia__ buenísimo!!
gerryoc,17925879966091384,https://www.instagram.com/p/DL3ybpMsVkx/,"Se ve brutal, yo quiero"
juliolealortiz,18071352608064931,https://www.instagram.com/p/DL3ybpMsVkx/,@gerryoc DE LI
maryfuentes762,18136097095431281,https://www.instagram.com/p/DL3ybpMsVkx/,"No entiendo donde están ubicados, por favor en qué plaza comercial están?"
yedam_merida,18066183956257839,https://www.instagram.com/p/DL3ybpMsVkx/,@maryfuentes762 se ubica en la colonia montebello en plaza kura
telmaap,17863562508464740,https://www.instagram.com/p/DL3ybpMsVkx/,"Dónde se ubican,??"
yedam_merida,17903327277274509,https://www.instagram.com/p/DL3ybpMsVkx/,@telmaap se ubica en la colonia montebello en plaza kura
yedam_merida,17923863357110033,https://www.instagram.com/p/DL3ybpMsVkx/,@telmaap https://maps.app.goo.gl/WBwuLXPpSnoHusg39
silviatorrentera,17967312062794613,https://www.instagram.com/p/DL3ybpMsVkx/,Vengan a Quintana rio
melrodriguezflores,17843781717570282,https://www.instagram.com/p/DL3ybpMsVkx/,"Está delicioso, buenas porciones y excelente servicio 👌"
roxazar,18052318340183733,https://www.instagram.com/p/DL3ybpMsVkx/,Eres Koreano? No se entiende lo que dices
ericksixto,18148513066388923,https://www.instagram.com/p/DL3ybpMsVkx/,😮 Gpi
juliolealortiz,18079627378909885,https://www.instagram.com/p/DL3ybpMsVkx/,"@ericksixto vamos, sus platillos también son saludables!"
ericksixto,17965778231786064,https://www.instagram.com/p/DL3ybpMsVkx/,@juliolealortiz dale pero solo si la proxima tu dices los nombres de los platillos
juliolealortiz,17875864458369392,https://www.instagram.com/p/DL3ybpMsVkx/,@ericksixto 😂
fanvic,18388209133131006,https://www.instagram.com/p/DL3ybpMsVkx/,"Delicioso, 100% recomendable, las porciones son grandes. Te dan unas entradas entre ellas el kimchi."
davidvet84,17861946825377483,https://www.instagram.com/p/DL3ybpMsVkx/,Un lugar 100 x 100 recomendable muy rico 😋
juliolealortiz,18056508254521831,https://www.instagram.com/p/DL3ybpMsVkx/,@davidvet84 🙌🙌
mariaines33,17978845937855526,https://www.instagram.com/p/DL3ybpMsVkx/,@melissa.aguilarp
melissa.aguilarp,18022120367526814,https://www.instagram.com/p/DL3ybpMsVkx/,@mariaines33 quiero ir
div_canch,18051112772541439,https://www.instagram.com/p/DL3ybpMsVkx/,@___nayec 😍
jorge.ra7,18030018305487656,https://www.instagram.com/p/DL3ybpMsVkx/,@kamiroi39
marielabacab,18524968075029060,https://www.instagram.com/p/DL3ybpMsVkx/,@josekublanco
mariela.trujillogallegos,18054777248394188,https://www.instagram.com/p/DL3ybpMsVkx/,Acompañan con kimchi ?
hebertorreskn,18088013620834099,https://www.instagram.com/p/DL3ybpMsVkx/,Ubicación
yedam_merida,18127556152476403,https://www.instagram.com/p/DL3ybpMsVkx/,@hebertorreskn https://maps.app.goo.gl/WBwuLXPpSnoHusg39
fabi.monrob,18100512994517078,https://www.instagram.com/p/DL3ybpMsVkx/,"Que fue lo más rico , para saber que pedir"
divinanena,17961833996978642,https://www.instagram.com/p/DL3ybpMsVkx/,Donde es ?
yedam_merida,18521347531053797,https://www.instagram.com/p/DL3ybpMsVkx/,@divinanena se ubica en la colonia montebello en plaza kura
yedam_merida,18099275512623731,https://www.instagram.com/p/DL3ybpMsVkx/,@divinanena https://maps.app.goo.gl/WBwuLXPpSnoHusg39
nerisoemy,18076509500058160,https://www.instagram.com/p/DL3ybpMsVkx/,Hola
jorgemanuelcamara,18074985905029743,https://www.instagram.com/p/DL3ybpMsVkx/,En Google maps pones el nombre que dicen en el video por favor señores jajajajaja es sencillo inténtelo
anginaal,17906279277228989,https://www.instagram.com/p/DL3ybpMsVkx/,Amor Antonio Kc llevame
katyajesus.rodriguezestrella,18053702756204526,https://www.instagram.com/p/DL3ybpMsVkx/,Donde se ubica alguien podría compartir ubicación
yedam_merida,17914616844056412,https://www.instagram.com/p/DL3ybpMsVkx/,@katyajesus.rodriguezestrella https://maps.app.goo.gl/WBwuLXPpSnoHusg39
yedam_merida,17946004605041954,https://www.instagram.com/p/DL3ybpMsVkx/,@katyajesus.rodriguezestrella se ubica en la colonia montebello en plaza kura
zoila_maria_lugo_valdez,18070059061921749,https://www.instagram.com/p/DL3ybpMsVkx/,Ubicacion
yedam_merida,17859069990493336,https://www.instagram.com/p/DL3ybpMsVkx/,@zoila_maria_lugo_valdez https://maps.app.goo.gl/WBwuLXPpSnoHusg39
ivonne5488,18078368293977552,https://www.instagram.com/p/DL3ybpMsVkx/,Donde se ubica
yedam_merida,18117259051505212,https://www.instagram.com/p/DL3ybpMsVkx/,@ivonne5488 se ubica en la colonia montebello en plaza kura
yedam_merida,18074786801279995,https://www.instagram.com/p/DL3ybpMsVkx/,@ivonne5488 https://maps.app.goo.gl/WBwuLXPpSnoHusg39
gelmy_chan29,18076576667027900,https://www.instagram.com/p/DL3ybpMsVkx/,La dirección?
yedam_merida,18077458439055269,https://www.instagram.com/p/DL3ybpMsVkx/,@gelmy_chan29 https://maps.app.goo.gl/WBwuLXPpSnoHusg39
manuelacanul,18050168792635013,https://www.instagram.com/p/DL3ybpMsVkx/,Margaret muñoz
marthagar29,17852315634526897,https://www.instagram.com/p/DL3ybpMsVkx/,Cuál es la dirección ?
yedam_merida,17877748248401768,https://www.instagram.com/p/DL3ybpMsVkx/,@marthagar29 https://maps.app.goo.gl/WBwuLXPpSnoHusg39
freddyperez7711,18076680404076209,https://www.instagram.com/p/DL3ybpMsVkx/,Dónde se ubica
yedam_merida,17914719234057681,https://www.instagram.com/p/DL3ybpMsVkx/,@freddyperez7711 se ubica en la colonia montebello en plaza kura
yedam_merida,18089226661811540,https://www.instagram.com/p/DL3ybpMsVkx/,@freddyperez7711 https://maps.app.goo.gl/WBwuLXPpSnoHusg39
angelgabriel.campos.10,17846179779547253,https://www.instagram.com/p/DL3ybpMsVkx/,Dirección por favor
yedam_merida,17866952064446900,https://www.instagram.com/p/DL3ybpMsVkx/,@angelgabriel.campos.10 https://maps.app.goo.gl/WBwuLXPpSnoHusg39
zoila_maria_lugo_valdez,17878208067399771,https://www.instagram.com/p/DL3ybpMsVkx/,No se entiende ubicacion
yedam_merida,18056968226147862,https://www.instagram.com/p/DL3ybpMsVkx/,@zoila_maria_lugo_valdez se ubica en la colonia montebello en plaza kura
shireyburgos,18015829745771473,https://www.instagram.com/p/DL3ybpMsVkx/,Zuemy Pacheco  cuando vamos
alejaguilar86,18105453796575582,https://www.instagram.com/p/DL3ybpMsVkx/,Visita El jardín está delicioso
paolabigai,18064542260324313,https://www.instagram.com/p/DL3ybpMsVkx/,Hay que ir @daneytuzcastillo
femifactor,18073076590980216,https://www.instagram.com/p/DL3ybpMsVkx/,Looks good
juliolealortiz,17900912157230332,https://www.instagram.com/p/DL3ybpMsVkx/,@femifactor it’s sooo good!
femifactor,18484325944068712,https://www.instagram.com/p/DL3ybpMsVkx/,@juliolealortiz definitely trying this 👊🏾👊🏾
sugemendoza,18046961459237638,https://www.instagram.com/p/DL3ybpMsVkx/,Muy rico!
juliolealortiz,18072635629949135,https://www.instagram.com/p/DL3ybpMsVkx/,@sugemendoza vamos!
alvarocarcano,18014895200569752,https://www.instagram.com/p/DL3ybpMsVkx/,Ufff hay que ir
