hashtags:,#yucatan,#merida,#fyp
post_url,username,comment_id,comment_text
sonnyboy181,18371603635105432,https://www.instagram.com/p/DBxFX_KJhVa/,Por que me sale ahora cuando acabo de volver de allí 🥲🥲🥲
lonigrocami,18025620632419242,https://www.instagram.com/p/DBxFX_KJhVa/,"Julio , contáctame 🤗"
mireherrera_,18024783524605659,https://www.instagram.com/p/DBxFX_KJhVa/,La promoción solo es válida al cumpleañero?
loruhamii,18066788995630210,https://www.instagram.com/p/DBxFX_KJhVa/,@aremarrufo
aremarrufo,18038763271996802,https://www.instagram.com/p/DBxFX_KJhVa/,@loruhamii 😮😮
joesantanab,18038381171178272,https://www.instagram.com/p/DBxFX_KJhVa/,Sera que me esperen hasta mayo? 😂
juliolealortiz,18267012304247480,https://www.instagram.com/p/DBxFX_KJhVa/,@joesantanab uffff 😮‍💨😮‍💨😮‍💨 creo que si jajajaja!
amoyashante,18467833435011842,https://www.instagram.com/p/DBxFX_KJhVa/,I’m waiting for you in the living room to watch Love Is Blind and you are on the toilet posting videos 😂
juliolealortiz,18094867495482407,https://www.instagram.com/p/DBxFX_KJhVa/,@amoyashante jajajaja y sigo en el bacín 😂
