hashtags:,#merida,#yucatan,#comida
post_url,username,comment_id,comment_text
aixima,18223362115305846,https://www.instagram.com/p/C9Qt1_PpO1a/,@pattyto8
luky2325,18488894956041520,https://www.instagram.com/p/C9Qt1_PpO1a/,Cómo se llama el lugar?
luky2325,17907027285020093,https://www.instagram.com/p/C9Qt1_PpO1a/,Donde??
luky2325,17931778397817672,https://www.instagram.com/p/C9Qt1_PpO1a/,Es Aquí en Mérida ??
melimoset,18036488899908238,https://www.instagram.com/p/C9Qt1_PpO1a/,JAJAJA amo su acento apppooooorreado
eltonrafa1987,18060675211649400,https://www.instagram.com/p/C9Qt1_PpO1a/,Iría con mi novio @israelestevez_  por que fue su cumple y no pudimos festejar.
adry4107,17935729229882847,https://www.instagram.com/p/C9Qt1_PpO1a/,@campos_anette  que rico 😋 quiero
c.g.alondra,17846352741260157,https://www.instagram.com/p/C9Qt1_PpO1a/,@ximenasalazaaar @aura_zaldivar
ada_sinache,17881761252098562,https://www.instagram.com/p/C9Qt1_PpO1a/,@parkarius
anddygutierrez,18049938943677272,https://www.instagram.com/p/C9Qt1_PpO1a/,@aideglezo
lauchiiz,17953755326693311,https://www.instagram.com/p/C9Qt1_PpO1a/,@diana_veera13 ❤️
carepetto,17934206006890509,https://www.instagram.com/p/C9Qt1_PpO1a/,Con mi amiga @arqmar
marianazapatamt,17913610148965090,https://www.instagram.com/p/C9Qt1_PpO1a/,@aito_yaarenas
juliolealortiz,17997506753484881,https://www.instagram.com/p/C9Qt1_PpO1a/,"Felicidades @naamac24 ganaste la comidita en @somos.marcelo, la rifa está en mis historias de instagram :) ¡Gracias a todxs por participar!"
doca_2107,18037842184960076,https://www.instagram.com/p/C9Qt1_PpO1a/,@abril_castro_diaz
ilimedinaramirez,18454359679045806,https://www.instagram.com/p/C9Qt1_PpO1a/,La ensalada César con pollo es deliciosa!!!
ingridpm,17890301028060120,https://www.instagram.com/p/C9Qt1_PpO1a/,"Chopeada??? Se dice chuc nineoooo, un insulto para un yuca 😒"
mayramirezf,18049544752772364,https://www.instagram.com/p/C9Qt1_PpO1a/,@greta.vilchis  tenemos que ir a conocerlo mi vida 😍
mvero_migo,18052845856665707,https://www.instagram.com/p/C9Qt1_PpO1a/,@duiliopr75  ya nos vimos🤤
pao_rm12,18059163538620886,https://www.instagram.com/p/C9Qt1_PpO1a/,@juliantc_12
carloscasa7,17856823251212663,https://www.instagram.com/p/C9Qt1_PpO1a/,@pau_alamilla
pau_alamilla,18074877763519641,https://www.instagram.com/p/C9Qt1_PpO1a/,@carloscasa7 si son
chefsito.conceptual,18268714186211418,https://www.instagram.com/p/C9Qt1_PpO1a/,Marcelo nunca decepciona😮‍💨
ommm.ar.cs,17843851476256212,https://www.instagram.com/p/C9Qt1_PpO1a/,@ezequielortiz8 quieroo
hide_ycg,18020343554342605,https://www.instagram.com/p/C9Qt1_PpO1a/,Con @gamboasaul
tietadeagreste,18007240046540781,https://www.instagram.com/p/C9Qt1_PpO1a/,Quiero bongles @roquem.ale hahaha
marriaca,18041958871765296,https://www.instagram.com/p/C9Qt1_PpO1a/,Iría con mi hermanita @sofcarreram
jennu_22,17858645727199112,https://www.instagram.com/p/C9Qt1_PpO1a/,@gabrielmayventura tan cerca y nunca hemos ido 🤤
emmagissel,18073799950524622,https://www.instagram.com/p/C9Qt1_PpO1a/,Lo mas deliciosos
sunny_e.s,18084842920470598,https://www.instagram.com/p/C9Qt1_PpO1a/,@saullpech
ms.ashleyjimenez,17989543499679792,https://www.instagram.com/p/C9Qt1_PpO1a/,@georgehoundfitness date night… no babies! 🤍
reqher02,18258973132217047,https://www.instagram.com/p/C9Qt1_PpO1a/,@marreqher
manueljr1590,17902200510007352,https://www.instagram.com/p/C9Qt1_PpO1a/,@shirleycita
lailavega8,18344920087141550,https://www.instagram.com/p/C9Qt1_PpO1a/,con mi señor hombre @deamxnn para seguir subiendo unos kilitos 🤭
jose.baretto,18016311626587081,https://www.instagram.com/p/C9Qt1_PpO1a/,@lailavega8 wuaaay nn
ndorantesd,17915124959959152,https://www.instagram.com/p/C9Qt1_PpO1a/,@nicky_dorantes vamos gordi 😍
ndorantesd,18360633757101456,https://www.instagram.com/p/C9Qt1_PpO1a/,"@aanimartin vamos nene, desayuno de señoras"
ndorantesd,17851560492199879,https://www.instagram.com/p/C9Qt1_PpO1a/,@jhonna.dorantes vamos a conocer
annie_drm,18021314570353491,https://www.instagram.com/p/C9Qt1_PpO1a/,@crisstelpaz
erika_rodriguez189,18313870564195425,https://www.instagram.com/p/C9Qt1_PpO1a/,Iria con @balbino.garibay 💕
carolinauh24,18014170814395698,https://www.instagram.com/p/C9Qt1_PpO1a/,@mafer_munoz24  miraaaa vamos 🤪
noveloallan,18044942887873536,https://www.instagram.com/p/C9Qt1_PpO1a/,@roxanapvela
banelly_cc,17939795486841878,https://www.instagram.com/p/C9Qt1_PpO1a/,Con mi novio @rusdom_19 porque cumplimos 3 años de novios prontito❤️
marieespadas,18035763649861163,https://www.instagram.com/p/C9Qt1_PpO1a/,Con mi novio @rudyperezferrera
soberanotamayo,18034741376045802,https://www.instagram.com/p/C9Qt1_PpO1a/,Con @perla_gomez79  claro!!!!
alex_bojorquez2,18056541868649187,https://www.instagram.com/p/C9Qt1_PpO1a/,@alee_chan
fernitoledo,17864558256168975,https://www.instagram.com/p/C9Qt1_PpO1a/,@trup.vlog tenemos que ir!
trup.vlog,17990476139674268,https://www.instagram.com/p/C9Qt1_PpO1a/,@fernitoledo lo malo es que toca agacharse para conocerlo
fernitoledo,18013804052592265,https://www.instagram.com/p/C9Qt1_PpO1a/,@trup.vlog 😂😂😂
anniu9,18018149132373623,https://www.instagram.com/p/C9Qt1_PpO1a/,@juan00pablo
gemaly_ramos26,18068786755557434,https://www.instagram.com/p/C9Qt1_PpO1a/,@jorgeaaron_cv
naamac24,17870978196134317,https://www.instagram.com/p/C9Qt1_PpO1a/,@karenmorenof
naamac24,18045451654867420,https://www.instagram.com/p/C9Qt1_PpO1a/,@americaavila12
cassandravargas_,18014262695237853,https://www.instagram.com/p/C9Qt1_PpO1a/,@arantzaarev
cassandravargas_,18085529281477483,https://www.instagram.com/p/C9Qt1_PpO1a/,@andreabouloy
cassandravargas_,17868834006140707,https://www.instagram.com/p/C9Qt1_PpO1a/,@azulmvargas
cassandravargas_,18275628313227069,https://www.instagram.com/p/C9Qt1_PpO1a/,@dianacastilloh
fridaesquivel_,17959923533662762,https://www.instagram.com/p/C9Qt1_PpO1a/,@claudia.gglz 😩🤤🤤
claudia.gglz,17909748068976649,https://www.instagram.com/p/C9Qt1_PpO1a/,@fridaesquivel_ go go
fichiman,17901367106934851,https://www.instagram.com/p/C9Qt1_PpO1a/,Desde el tiramisú me convenciste! 🤩
maar92,18235950178282516,https://www.instagram.com/p/C9Qt1_PpO1a/,@gabrielarc13 @karlacruzv 🤤
maar92,17939219741756159,https://www.instagram.com/p/C9Qt1_PpO1a/,@beboocruz llévame
melssuarez,18031063214321455,https://www.instagram.com/p/C9Qt1_PpO1a/,@daniel94dp
betssyherzgo,18030207836124775,https://www.instagram.com/p/C9Qt1_PpO1a/,@gabodebetsy 😍
