hashtags:,#merida,#yucatan,#fyp
post_url,username,comment_id,comment_text
leoyosef76,18077856557257953,https://www.instagram.com/p/DTlq2elgagv/,Dónde se consiguen?
juliolealortiz,18090593951061725,https://www.instagram.com/p/DTlq2elgagv/,@leoyosef76 a través de la app de @bancodonde 🙌🏽😎
silvia.anguiano.54,17992697927877271,https://www.instagram.com/p/DTlq2elgagv/,@leoyosef76 yo fui a una sucursal de Dondé en Mérida y allí me la dieron sin costo
leoyosef76,18074450171374598,https://www.instagram.com/p/DTlq2elgagv/,@silvia.anguiano.54 gracias
bancodonde,18019201202802586,https://www.instagram.com/p/DTlq2elgagv/,"¡Hola! La tarjeta Dondé Va y Ven la puedes tramitar en cualquiera de las 12 sucursales de Fundación Dondé en Mérida. 

El único requisito que necesitas presentar es tu CURP. Puedes consultar la ubicación de estas 12 sucursales directamente en nuestra página: bancodonde.com 🌐

¡Te esperamos para que empieces a disfrutar de todos sus beneficios! 💳"
edwingcen,17914669281257564,https://www.instagram.com/p/DTlq2elgagv/,Que chuladaaa 👏👏
juliolealortiz,17842329294679360,https://www.instagram.com/p/DTlq2elgagv/,@edwingcen 🫶🏼
bancodonde,18126133231468359,https://www.instagram.com/p/DTlq2elgagv/,@edwingcen ¡Totalmente! 🙌 El complemento perfecto para moverte por todo Mérida. 💳🚍
yazmiingaby,18076716326343997,https://www.instagram.com/p/DTlq2elgagv/,😍
bancodonde,17883099273441515,https://www.instagram.com/p/DTlq2elgagv/,"@yazmiingaby ¡Imposible no enamorarse de esta alianza! 🫶 Gracias por el apoyo, ¡nos vemos en el Va y Ven! 🚌"
bernardocampos200893,17853915477605199,https://www.instagram.com/p/DTlq2elgagv/,No dijiste que solo permite 4 viajes gratis por mes
bancodonde,18071098583128938,https://www.instagram.com/p/DTlq2elgagv/,"@bernardocampos200893 ¡Tienes toda la razón y qué bueno que lo mencionas! No queremos que se pase ningún detalle: efectivamente, cuentas con 4 viajes gratis cada mes como un beneficio de tu tarjeta. ¡Gracias! 🚍💳"
bernardocampos200893,17904717840344007,https://www.instagram.com/p/DTlq2elgagv/,Y también debes tener saldo. Es como un cashback te lo cobra y te lo regresa luego
bancodonde,17994793052736206,https://www.instagram.com/p/DTlq2elgagv/,"@bernardocampos200893 ¡Exacto! Como es una tarjeta de débito de banco, funciona con tu propio dinero. Por eso, al subir al camión, sí necesitas tener algo de saldo para que el lector te deje pasar sin problemas. ¡Es la clave para que aproveches tus viajes gratis de cada mes! 🚌💳"
eduardogarciaofc,17919684093090358,https://www.instagram.com/p/DTlq2elgagv/,vamos a dar el rol no @joesantanab ? 👀
juliolealortiz,17854189587609496,https://www.instagram.com/p/DTlq2elgagv/,@eduardogarciaofc maaaaa! Jajaja MÍNIMO!
joesantanab,18118494088583414,https://www.instagram.com/p/DTlq2elgagv/,@eduardogarciaofc yo no uso va y ven
juliolealortiz,18309523828268171,https://www.instagram.com/p/DTlq2elgagv/,@joesantanab kajajajajjajajajajaja 😂😂 AÑIO!
eduardogarciaofc,17893491333395064,https://www.instagram.com/p/DTlq2elgagv/,@joesantanab hmmmmm perdón!!!
bancodonde,18000891866854094,https://www.instagram.com/p/DTlq2elgagv/,@eduardogarciaofc ¡Armen el plan! Con su Dondé Va y Ven el rol se disfruta mucho más. 👀✨
bancodonde,17931404043175371,https://www.instagram.com/p/DTlq2elgagv/,"@joesantanab ""¡Justo es un gran pretexto! Lánzate por la tuya y verás que te va a encantar. 🙌"
