hashtags:,#merida,#yucatan,#tacos
post_url,username,comment_id,comment_text
lataquefabricadetacos,18432618838058531,https://www.instagram.com/p/C7AjHlhLsxl/,Vengansennn!!! Ya estamos con todo aquí en plaza patio para que tengan sus tacos a un peso!!
oswaldomatu,18108114508391158,https://www.instagram.com/p/C7AjHlhLsxl/,Waaaay se ve bien ricardo ese taco 🌮 🤤🤤🤤
abraham_vega8,18045737797692227,https://www.instagram.com/p/C7AjHlhLsxl/,@julio_ku_c
lataquefabricadetacos,18030528098050806,https://www.instagram.com/p/C7AjHlhLsxl/,"@abraham_vega8 Si te perdiste esta promoción, te dejamos esta buena noticia. Te invitamos a participar en nuestra Rifa de una Taquiza para 30 personas. La dinámica está en nuestro perfil 🌮"
lataquefabricadetacos,18011452709176103,https://www.instagram.com/p/C7AjHlhLsxl/,¡Vengan por su tacos! 🌮
andrea.arcila2,18005788982286069,https://www.instagram.com/p/C7AjHlhLsxl/,@saul_r_ramirez51
lataquefabricadetacos,18225897448287612,https://www.instagram.com/p/C7AjHlhLsxl/,"@andrea.arcila2 No olvides que aún esta la taquiza para 30 personas, te dejo el link con las bases para participar https://bit.ly/ganalataquizade30personas

¡Recuerda que el 15 de Junio, anunciaremos al ganador!"
claumalpica_,17861011554149551,https://www.instagram.com/p/C7AjHlhLsxl/,Que ricooo! Vamos  @soykevinucho
lataquefabricadetacos,18085166677453818,https://www.instagram.com/p/C7AjHlhLsxl/,"@claumalpica_ No olvides que aún esta la taquiza para 30 personas, te dejo el link con las bases para participar https://bit.ly/ganalataquizade30personas

¡Recuerda que el 15 de Junio, anunciaremos al ganador!"
amoyashante,18008369564216706,https://www.instagram.com/p/C7AjHlhLsxl/,Let’s gooo @juliolealortiz 😍
juliolealortiz,17855432178176636,https://www.instagram.com/p/C7AjHlhLsxl/,@amoyashante vamooooooos ❤️
karlajh18,18437000134060086,https://www.instagram.com/p/C7AjHlhLsxl/,En dónde se ubican
juliolealortiz,18008007038219536,https://www.instagram.com/p/C7AjHlhLsxl/,"@karlajh18 En Plaza Patio (Sendero), colonia chuminopolis 🙌"
karlajh18,17970434741719193,https://www.instagram.com/p/C7AjHlhLsxl/,@juliolealortiz gracias muy amable 👌
lataquefabricadetacos,17858845152122156,https://www.instagram.com/p/C7AjHlhLsxl/,"@karlajh18 No olvides que aún esta la taquiza para 30 personas, te dejo el link con las bases para participar https://bit.ly/ganalataquizade30personas

¡Recuerda que el 15 de Junio, anunciaremos al ganador!"
alvarocarcano,18433952350005337,https://www.instagram.com/p/C7AjHlhLsxl/,Gpi! Donde está???
juliolealortiz,17846050932216953,https://www.instagram.com/p/C7AjHlhLsxl/,@alvarocarcano Plaza Patio 😍
noecamel,18269881249225140,https://www.instagram.com/p/C7AjHlhLsxl/,@alvarocarcano da los taquitos Topin 🙌🏽🙌🏽🙌🏽
alvarocarcano,18125967502356880,https://www.instagram.com/p/C7AjHlhLsxl/,@noecamel de uña tengo 20 pesos para 20 taquitossss 😍
lataquefabricadetacos,17887540557019943,https://www.instagram.com/p/C7AjHlhLsxl/,"@alvarocarcano No olvides que aún esta la taquiza para 30 personas, te dejo el link con las bases para participar https://bit.ly/ganalataquizade30personas

¡Recuerda que el 15 de Junio, anunciaremos al ganador!"
josetwitts,18051751954653911,https://www.instagram.com/p/C7AjHlhLsxl/,Te invito a unos de lengua 😍
juliolealortiz,17900530271989301,https://www.instagram.com/p/C7AjHlhLsxl/,@josetwitts ufff 😍
lataquefabricadetacos,17920588001911422,https://www.instagram.com/p/C7AjHlhLsxl/,"@josetwitts No olvides que aún esta la taquiza para 30 personas, te dejo el link con las bases para participar https://bit.ly/ganalataquizade30personas

¡Recuerda que el 15 de Junio, anunciaremos al ganador!"
joesantanab,17903634833973526,https://www.instagram.com/p/C7AjHlhLsxl/,Vamos por los taquitos de a peso @_adrianace
lataquefabricadetacos,17882745225059716,https://www.instagram.com/p/C7AjHlhLsxl/,"@joesantanab No olvides que aún esta la taquiza para 30 personas, te dejo el link con las bases para participar https://bit.ly/ganalataquizade30personas

¡Recuerda que el 15 de Junio, anunciaremos al ganador!"
