hashtags:,#ViajarEsVivir,#Yucatan,#frases
post_url,username,comment_id,comment_text
amoyashante,18012986080603258,https://www.instagram.com/p/CrWopjjsODO/,This looks like Bali
juliolealortiz,18005641726629277,https://www.instagram.com/p/CrWopjjsODO/,@amoyashante so right!
amoyashante,18071508961367870,https://www.instagram.com/p/CrWopjjsODO/,This is such a beautiful video ❤️
juliolealortiz,17858228363907649,https://www.instagram.com/p/CrWopjjsODO/,@amoyashante thanks babe ❤️
juliolealortiz,18003675202680512,https://www.instagram.com/p/CrWopjjsODO/,"#Viajes
#ViajarEsVivir
#ExplorandoElMundo
#AventurasInolvidables
#RecuerdosDeViaje
#ViajarEsLaRespuesta
#Mochilero
#Viajero
#Turismo
#Travelgram
#Destinos
#TravelAddict
#Exploradores
#Naturaleza"
