hashtags:,#Navidad,#navidad
post_url,username,comment_id,comment_text
carla_cambridge2,17944379048444247,https://www.instagram.com/p/Clr1evjjuIr/,This baby is STUNNING!
chouille45,17897496317706132,https://www.instagram.com/p/Clr1evjjuIr/,Le vie la vraie 😍😍
chouille45,17934880547585484,https://www.instagram.com/p/Clr1evjjuIr/,😍😍 cute❤️❤️❤️
violeta.ortiz.50596,18050519863374125,https://www.instagram.com/p/Clr1evjjuIr/,"Dios siempre les va a bendecir  a esta bella familia , se que les voy a extrañar pero la felicidad de uds es lo más importante,  les amo"
amoyashante,18059534413359703,https://www.instagram.com/p/Clr1evjjuIr/,Te amo mi vida 😘
ginn_amaya,17857507319822788,https://www.instagram.com/p/Clr1evjjuIr/,"Que bella, muchas felicidades✨✨"
