hashtags:,#tulum,#quintanaroo
post_url,username,comment_id,comment_text
yoszmaldonado,17897828150435700,https://www.instagram.com/p/CZS4usGrBoL/,Excelente 🙌🔥🔥🔥
juliolealortiz,17963764321534910,https://www.instagram.com/p/CZS4usGrBoL/,@yoszmaldonado 🙌🙌🙌
oswaldomatu,17947991566690106,https://www.instagram.com/p/CZS4usGrBoL/,Me lo como
juliolealortiz,17937157669787972,https://www.instagram.com/p/CZS4usGrBoL/,@oswaldomatu ven!
cherrygr,17952587674589567,https://www.instagram.com/p/CZS4usGrBoL/,Cómo te subiste ahí jajaja
juliolealortiz,18224507476097483,https://www.instagram.com/p/CZS4usGrBoL/,@cherrygr 😂
amoyashante,17946505525636651,https://www.instagram.com/p/CZS4usGrBoL/,😍😍😍
juliolealortiz,18256713988078971,https://www.instagram.com/p/CZS4usGrBoL/,@amoyashante 🤭😘
