hashtags:,#tb,#YaVienenLasFotosConElDrone
post_url,username,comment_id,comment_text
juliolealortiz,17906480074112751,https://www.instagram.com/p/BeDxd7_l-3u/,#instatravel #visityucatan #visitmexico #gopro #mexico #yucatan #turismo #travelphotography #instagood #photooftheday #travel #goprohero #hero4 #traveling #travelgram #world #wanderlust #traveler #igers #TravelBlogger #like #picoftheday #fun #instadaily #discovermexico #discover #nature
josetwitts,17906076448111600,https://www.instagram.com/p/BeDxd7_l-3u/,Hay que conocer hasta el ultimo rincón de Yucatan amigo
